# IEL
ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID
68	Danish	ashes	4	ˈasg̥ʰə	asg̥ʰə	a s g̥ʰ ə	37
69	Dutch_List	ashes	4	ɑs	ɑs	ɑ s	37
70	English	ashes	4	æʃɪz	æʃɪz	æ ʃ ɪ z	37
71	French	ashes	4	sɑ̃dʀ	sɑ̃dʀ	s ɑ̃ d ʀ	35
72	German	ashes	4	'aʃə	aʃə	a ʃ ə	37
73	Greek_Mod	ashes	4	ˈstaxti	staxti	s t a x t i	38
74	Italian	ashes	4	'tʃenere	ʧenere	ʧ e n e r e	39
75	Marathi	ashes	4	ɾakʰ	ɾakʰ	ɾ a kʰ	40
76	Polish	ashes	4	ˈpɔpʲuw	pɔpʲuw	p ɔ pʲ u w	36
77	Portuguese_ST	ashes	4	ˈsĩzɐʃ	sĩzɐʃ	s ĩ z ɐ ʃ	42
78	Russian	ashes	4	zo'la	zola	z o l a	43
79	Spanish	ashes	4	θe'niθas	θeniθas	θ e n i θ a s	42
80	Swedish	ashes	4	stɔft	stɔft	s t ɔ f t	44
81	Bihari	ashes	4	chaur	cʰaur	cʰ au r	33
82	Oriya	ashes	4	bhɔsmoɔ	bʱɔsmoɔ	bʱ ɔ s m oɔ	41
83	Oriya	ashes	4	pãũsɔ	paːũsɔ	p aːũ s ɔ	41
84	Urdu	ashes	4	ɾɑkʰ	ɾɑkʰ	ɾ ɑ kʰ	40
85	Swedish	ashes	4	'aska	aska	a s k a	37
86	Marathi	ashes	4	'bʱəsmə	bʱəsmə	bʱ ə s m ə	41
# 
87	Catalan	at	5	a	a	a	47
88	Czech	at	5	ʊ	ʊ	ʊ	48
89	Danish	at	5	veð	veð	v e ð	49
90	Dutch_List	at	5	tə	tə	t ə	50
91	English	at	5	æt	æt	æ t	49
92	French	at	5	a	a	a	47
93	German	at	5	an	an	a n	51
94	Greek_Mod	at	5	se̞	se̞	s e̞	52
95	Italian	at	5	a, ad	a	a	47
96	Marathi	at	5	t, tʰe	t	t	50
97	Polish	at	5	v	v	v	54
98	Portuguese_ST	at	5	ɐ̃j	ɐ̃j	ɐ̃ j	55
99	Russian	at	5	v	v	v	54
100	Spanish	at	5	a	a	a	47
101	Swedish	at	5	viːd	viːd	v iː d	49
102	Breton_ST	at	5	e, ẽn	e	e	46
103	Oriya	at	5	ṭhare	ʈʰare	ʈʰ a r e	53
104	Oriya	at	5	re	re	r e	59
105	Urdu	at	5	pəɾ, pɛ	pəɾ	p ə ɾ	56
106	Czech	at	5	pr̝̊ɪ	pr̝ɪ	p r̝ ɪ	56
107	Russian	at	5	u	u	u	48
108	Catalan	at	5	pər	pər	p ə r	56
109	Portuguese_ST	at	5	a	a	a	47
110	Swedish	at	5	po:	poː	p oː	60
111	Marathi	at	5	'wadzta	wadzta	w a d z t a	58
112	Armenian_Mod	at	5	um	um	u m	45
113	Armenian_Mod	at	5	in	in	i n	57
# 
114	Breton_ST	back	6	kɛjn	kɛjn	k ɛ j n	63
115	Catalan	back	6	əs'paʎʎə	əspaʎʎə	ə s p a ʎː ə	64
116	Danish	back	6	b̥ɛj	b̥ɛj	b̥ ɛ j	66
117	Dutch_List	back	6	rʏχ	rʏχ	r ʏ χ	67
118	English	back	6	bæk	bæk	b æ k	68
119	French	back	6	do	do	d o	69
120	German	back	6	'rijkn̩	rijkn̩	r i j k n̩	70
121	Greek_Mod	back	6	ˈplati	plati	p l a t i	71
122	Italian	back	6	'dɔsso	dɔsso	d ɔ sː o	69
123	Marathi	back	6	patʰ	patʰ	p a tʰ	62
124	Polish	back	6	'plɛʦɨ	plɛʦɨ	p l ɛ ʦ ɨ	72
125	Russian	back	6	spi'na	spina	s p i n a	74
126	Spanish	back	6	es'palda	espalda	e s p a l d a	64
127	Swedish	back	6	rʏg	rʏg	r ʏ g	67
128	Bihari	back	6	piʈa	piʈa	p i ʈ a	62
129	Bihari	back	6	ɖar	ɖar	ɖ a r	69
130	Oriya	back	6	piṭhi	piʈʰi	p i ʈʰ i	62
131	Urdu	back	6	kəməɾ	kəməɾ	k ə m ə ɾ	75
132	Catalan	back	6	əs'kɛnə	əskɛnə	ə s k ɛ n ə	76
133	Portuguese_ST	back	6	ˈkɔʃtɐʃ	kɔʃtɐʃ	k ɔ ʃ t ɐ ʃ	73
134	Armenian_Mod	back	6	meʧʰkʰ	meʧʰkʰ	m e ʧʰ kʰ	61
135	Czech	back	6	zaːda	zaːda	z aː d a	65
# 
136	Breton_ST	bad	7	fal	fal	f a l	79
137	Catalan	bad	7	mal	mal	m a l	80
138	Danish	bad	7	ɔn	ɔn	ɔ n	82
139	Dutch_List	bad	7	slɛχt	slɛχt	s l ɛ χ t	83
140	English	bad	7	bæd	bæd	b æ d	77
141	French	bad	7	mɔvɛ	mɔvɛ	m ɔ v ɛ	84
142	German	bad	7	ʃlɛçt	ʃlɛçt	ʃ l ɛ ç t	83
143	Greek_Mod	bad	7	kaˈko̞s	kako̞s	k a k o̞ s	85
144	Italian	bad	7	kat'tivo	kattivo	k a tː i v o	86
145	Marathi	bad	7	wa͜i:ʈ	wa͜iːʈ	w a͜iː ʈ	87
146	Polish	bad	7	zwɨ	zwɨ	z w ɨ	81
147	Portuguese_ST	bad	7	maw	maw	m a w	80
148	Russian	bad	7	plo'xoj	ploxoj	p l o x o j	88
149	Spanish	bad	7	'malo	malo	m a l o	80
150	Swedish	bad	7	ˈdoː.lɪ(ɡ)	doː.lɪɡ	d oː l ɪ ɡ	89
151	Armenian_Mod	bad	7	vɑt	vɑt	v ɑ t	77
152	Bihari	bad	7	khərap	kʰərap	kʰ ə r a p	78
153	Oriya	bad	7	khɔrap(ɔ)	kʰɔrapɔ	kʰ ɔ r a p ɔ	78
154	Urdu	bad	7	bʊɾɑ	bʊɾɑ	b ʊ ɾ ɑ	90
155	Swedish	bad	7	und	und	u n d	91
156	Swedish	bad	7	'ʉ:səl	ʉːsəl	ʉː s ə l	92
157	Urdu	bad	7	χəɾɑb	χəɾɑb	χ ə ɾ ɑ b	78
158	Czech	bad	7	zliː	zliː	z l iː	81
# 
159	Czech	bark	8	kuːra	kuːra	k uː r a	97
160	Catalan	bark	8	əs'kɔrsə	əskɔrsə	ə s k ɔ r s ə	96
161	Breton_ST	bark	8	rysk	rysk	r y s k	95
162	Danish	bark	8	b̥ɑːg̥ʰ	b̥ɑːg̥ʰ	b̥ ɑː g̥ʰ	98
163	Dutch_List	bark	8	sχɔrs	sχɔrs	s χ ɔ r s	96
164	English	bark	8	bɑ:k	bɑːk	b ɑː k	98
165	French	bark	8	ekɔʀs	ekɔʀs	e k ɔ ʀ s	96
166	German	bark	8	'rɪndə	rɪndə	r ɪ n d ə	99
167	Greek_Mod	bark	8	ðe̞ˈ(n)dro̞fluˌða	ðe̞ndro̞fluða	ð e̞ n d r o̞ f l u ð a	100
168	Italian	bark	8	'skɔrdza	skɔrdza	s k ɔ r d z a	96
169	Marathi	bark	8	sal	sal	s a l	101
170	Polish	bark	8	ˈkɔra	kɔra	k ɔ r a	97
171	Russian	bark	8	ko'ra	kora	k o r a	97
172	Spanish	bark	8	koɾ'teθa	koɾteθa	k o ɾ t e θ a	96
173	Swedish	bark	8	bark	bark	b a r k	98
174	Bihari	bark	8	chal	cʰal	cʰ a l	94
175	Oriya	bark	8	čheli	čheli	č h e l i	94
176	Oriya	bark	8	bɔkɔḷɔ	bɔkɔɭɔ	b ɔ k ɔ ɭ ɔ	103
177	Urdu	bark	8	ʧɑl	ʧɑl	ʧ ɑ l	94
178	German	bark	8	'bɔrkə	bɔrkə	b ɔ r k ə	98
179	Italian	bark	8	kor'tettʃa	kortetʧa	k o r t e t ʧ a	96
180	Armenian_Mod	bark	8	kɛˈʁɛv	kɛʁɛv	k ɛ ʁ ɛ v	93
181	Portuguese_ST	bark	8	ˈkaʃkɐ	kaʃkɐ	k a ʃ k ɐ	102
# 
182	German	because	9	va‿il	vail	v ai l	107
183	Breton_ST	because	9	pɛ'gwi:r	pɛgwiːr	p ɛ g w iː r	105
184	Marathi	because	9	'kaɾəɳ	kaɾəɳ	k a ɾ ə ɳ	109
185	Swedish	because	9	e'me:dan	emeːdan	e m eː d a n	111
186	Armenian_Mod	because	9	voɾovhɛˈtɛv	voɾovhɛtɛv	v o ɾ o v h ɛ t ɛ v	104
187	English	because	9	bɪkɒz	bɪkɒz	b ɪ k ɒ z	106
188	Oriya	because	9	karɔṇɔ	karɔɳɔ	k a r ɔ ɳ ɔ	109
189	Oriya	because	9	hetu	hetu	h e t u	113
190	Oriya	because	9	jogu	jogu	j o g u	114
191	Oriya	because	9	boli	boli	b o l i	115
192	Urdu	because	9	kjũ ke	kjuː#ke	k j uː # k e	112
193	Polish	because	9	bɔ	bɔ	b ɔ	110
194	Greek_Mod	because	9	ˌðiˈo̞ti	ðio̞ti	ð io̞ t i	108
# 
195	Czech	belly	10	br̝ɪxo	br̝ɪxo	b r̝ ɪ x o	119
196	English	belly	10	bɛlɪ	bɛlɪ	b ɛ l ɪ	121
197	Breton_ST	belly	10	ko:f	koːf	k oː f	117
198	Catalan	belly	10	'bentrə	bentrə	b e n t r ə	118
199	Danish	belly	10	b̥u	b̥u	b̥ u	120
200	Dutch_List	belly	10	bœyk	bœyk	b œy k	120
201	French	belly	10	vɑ̃tʀ	vɑ̃tʀ	v ɑ̃ t ʀ	118
202	German	belly	10	ba‿ux	baux	b au x	120
203	Greek_Mod	belly	10	ciˈʎa	ciʎa	c i ʎ a	121
204	Italian	belly	10	'vɛntre	vɛntre	v ɛ n t r e	118
205	Marathi	belly	10	poʈ	poʈ	p o ʈ	116
206	Polish	belly	10	bʒux	bʒux	b ʒ u x	122
207	Portuguese_ST	belly	10	ˈvẽtɾɨ	vẽtɾɨ	v ẽ t ɾ ɨ	118
208	Russian	belly	10	zi'vot	zivot	z i v o t	123
209	Swedish	belly	10	bʉ:k	bʉːk	b ʉː k	120
210	Bihari	belly	10	peʈ	peʈ	p e ʈ	116
211	Oriya	belly	10	peṭɔ	peʈɔ	p e ʈ ɔ	116
212	Urdu	belly	10	peʈ	peʈ	p e ʈ	116
213	Spanish	belly	10	ba'riɣa	bariɣa	b a r i ɣ a	119
214	Portuguese_ST	belly	10	bɐˈʁiɣɐ	bɐʁiɣɐ	b ɐ ʁ i ɣ ɐ	119
215	Catalan	belly	10	'panʃə, 'pantʃa	panʃə	p a n ʃ ə	124
# 
216	Armenian_Mod	big	11	mɛʦ	mɛʦ	m ɛ ʦ	125
217	Czech	big	11	vɛlkiː	vɛlkiː	v ɛ l k iː	129
218	Breton_ST	big	11	bʁaz	bʁaz	b ʁ a z	127
219	Catalan	big	11	gran	gran	g r a n	128
220	Danish	big	11	ˈsd̥ʰoɐ̯	sd̥ʰoɐ̯	s d̥ʰ oɐ̯	130
221	Dutch_List	big	11	ɣrot	ɣrot	ɣ r o t	131
222	English	big	11	bɪg	bɪg	b ɪ g	132
223	French	big	11	gʀɑ̃	gʀɑ̃	g ʀ ɑ̃	128
224	German	big	11	gro:s	groːs	g r oː s	131
225	Greek_Mod	big	11	me̞ˈɣalo̞s	me̞ɣalo̞s	m e̞ ɣ a l o̞ s	133
226	Italian	big	11	'grande	grande	g r a n d e	128
227	Marathi	big	11	'moʈʰə	moʈʰə	m o ʈʰ ə	134
228	Polish	big	11	ˈvʲɛlkʲi	vʲɛlkʲi	vʲ ɛ l kʲ i	129
229	Portuguese_ST	big	11	ˈɡɾɐ̃ðɨ	ɡɾɐ̃ðɨ	ɡ ɾ ɐ̃ ð ɨ	128
230	Russian	big	11	bolʲ'ʃoj	bolʲʃoj	b o lʲ ʃ o j	136
231	Spanish	big	11	'ɡɾande	ɡɾande	ɡ ɾ a n d e	128
232	Swedish	big	11	gru:v	gruːv	g r uː v	131
233	Bihari	big	11	nəmhər	nəmhər	n ə m h ə r	126
234	Oriya	big	11	bɔṛɔ	bɔɽɔ	b ɔ ɽ ɔ	135
235	Urdu	big	11	bəɽɛ	bəɽɛ	b ə ɽ ɛ	135
236	Russian	big	11	ve'likij	velikij	v e l i k i j	129
237	Breton_ST	big	11	møʁ	møʁ	m ø ʁ	125
238	Catalan	big	11	ʎaɾk	ʎaɾk	ʎ a ɾ k	137
# 
239	Armenian_Mod	bird	12	tʰərˈʧʰun	tʰərʧʰun	tʰ ə r ʧʰ u n	138
240	Czech	bird	12	ptaːk	ptaːk	p t aː k	142
241	Breton_ST	bird	12	'ẽwn	ẽwn	ẽ w n	140
242	Catalan	bird	12	u'seʎ	useʎ	u s e ʎ	141
243	Danish	bird	12	ful	ful	f u l	143
244	Dutch_List	bird	12	'voɣəl	voɣəl	v o ɣ ə l	143
245	English	bird	12	bɜ:d	bɜːd	b ɜː d	144
246	French	bird	12	wazo	wazo	w a z o	145
247	German	bird	12	'fo:gl̩	foːgl̩	f oː g l̩	143
248	Greek_Mod	bird	12	pu'li	puli	p u l i	146
249	Italian	bird	12	ut'tʃɛllo	utʧɛllo	u t ʧ ɛ lː o	141
250	Marathi	bird	12	pək'ʂi	pəkʂi	p ə k ʂ i	147
251	Polish	bird	12	ptak	ptak	p t a k	142
252	Portuguese_ST	bird	12	ˈavɨ	avɨ	a v ɨ	148
253	Russian	bird	12	'ptitsa	ptitsa	p t i t s a	149
254	Swedish	bird	12	'fo:gəl	foːgəl	f oː g ə l	143
255	Bihari	bird	12	cirəi	cirəi	c i r əi	139
256	Oriya	bird	12	pɔkhi	pɔkʰi	p ɔ kʰ i	147
257	Urdu	bird	12	pɾɪnd̪əh	pɾɪnd̪əh	p ɾ ɪ n d̪ ə h	151
258	Catalan	bird	12	mu'ʃo	muʃo	m u ʃ o	153
259	Breton_ST	bird	12	'la:bus	laːbus	l aː b u s	152
260	Spanish	bird	12	'paxaɾo	paxaɾo	p a x a ɾ o	150
261	Portuguese_ST	bird	12	ˈpasɐɾu	pasɐɾu	p a s ɐ ɾ u	150
# 
262	Armenian_Mod	bite	13	kəˈʦɛl	kəʦɛl	k ə ʦ ɛ l	154
263	Czech	bite	13	koʊ̯sat	koʊ̯sat	k oʊ̯ s a t	154
264	Breton_ST	bite	13	'krɛ:gĩn	krɛːgĩn	k r ɛː g ĩ n	156
265	Catalan	bite	13	musəˈɣa	musəɣa	m u s ə ɣ a	157
266	Danish	bite	13	ˈb̥iːðə	b̥iːðə	b̥ iː ð ə	158
267	Dutch_List	bite	13	'bɛitə(n)	bɛitən	b ɛi t ə n	158
268	English	bite	13	baɪt	baɪt	b aɪ t	158
269	French	bite	13	mɔʀdʀ	mɔʀdʀ	m ɔ ʀ d ʀ	157
270	German	bite	13	'ba‿isn̩	baisn̩	b ai s n̩	158
271	Greek_Mod	bite	13	ðaˈ(ŋ)ɡo̞no̞	ðaŋɡo̞no̞	ð a ŋ ɡ o̞ n o̞	159
272	Italian	bite	13	'mɔrdere	mɔrdere	m ɔ r d e r e	157
273	Polish	bite	13	ɡrɨɕʨ	ɡrɨɕʨ	ɡ r ɨ ɕ ʨ	154
274	Portuguese_ST	bite	13	muɾˈdeɾ	muɾdeɾ	m u ɾ d e ɾ	157
275	Russian	bite	13	'kusatʲ	kusatʲ	k u s a tʲ	154
276	Spanish	bite	13	moɾ'ðeɾ	moɾðeɾ	m o ɾ ð e ɾ	157
277	Swedish	bite	13	'bi:ta	biːta	b iː t a	158
278	Bihari	bite	13	kaʈəb	kaʈəb	k a ʈ ə b	155
279	Oriya	bite	13	kamuṛ-	kamuɽ	k a m u ɽ	161
280	Urdu	bite	13	kɑʈnə	kɑʈnə	k ɑ ʈ n ə	155
281	Catalan	bite	13	pi'ka	pika	p i k a	163
282	Breton_ST	bite	13	'dãntã	dãntã	d ã n t ã	162
283	Marathi	bite	13	'tsawa	tsawa	t s a w a	160
# 
284	Armenian_Mod	black	14	sɛv	sɛv	s ɛ v	164
285	Czech	black	14	tʃɛrniː	ʧɛrniː	ʧ ɛ r n iː	168
286	Breton_ST	black	14	dyː	dyː	d yː	166
287	Catalan	black	14	ˈnɛɣɾə, ˈneɣɾe	nɛɣɾə	n ɛ ɣ ɾ ə	167
288	Danish	black	14	sɒ:d̥ʰ	sɒːd̥ʰ	s ɒː d̥ʰ	169
289	Dutch_List	black	14	zwɑrt	zwɑrt	z w ɑ r t	169
290	English	black	14	blæk	blæk	b l æ k	170
291	French	black	14	nwaʀ	nwaʀ	n w a ʀ	167
292	German	black	14	ʃwart͜s	ʃwart͜s	ʃ w a r t͜s	169
293	Greek_Mod	black	14	ˈmavro̞s	mavro̞s	m a v r o̞ s	171
294	Italian	black	14	'nero	nero	n e r o	167
295	Marathi	black	14	'kaɭa	kaɭa	k a ɭ a	165
296	Polish	black	14	ˈʧarnɨ	ʧarnɨ	ʧ a r n ɨ	168
297	Portuguese_ST	black	14	'neɡɾu	neɡɾu	n e ɡ ɾ u	167
298	Russian	black	14	'tʃernɨj	ʧernɨj	ʧ e r n ɨ j	168
299	Spanish	black	14	'neɣɾo	neɣɾo	n e ɣ ɾ o	167
300	Swedish	black	14	svart, svaʈ	svart	s v a r t	169
301	Bihari	black	14	kari	kari	k a r i	165
302	Oriya	black	14	kɔḷa	kɔɭa	k ɔ ɭ a	165
303	Urdu	black	14	kɑlə	kɑlə	k ɑ l ə	165
304	Portuguese_ST	black	14	ˈpɾetu	pɾetu	p ɾ e t u	172
# 
305	Armenian_Mod	blood	15	ɑˈɾɪ̯un	ɑɾɪ̯un	ɑ ɾ ɪ̯u n	173
306	Czech	blood	15	krɛf	krɛf	k r ɛ f	177
307	German	blood	15	blu:t	bluːt	b l uː t	178
308	Breton_ST	blood	15	gwa:t	gwaːt	g w aː t	175
309	Catalan	blood	15	saŋ	saŋ	s a ŋ	176
310	Danish	blood	15	b̥loð	b̥loð	b̥ l o ð	178
311	Dutch_List	blood	15	blut	blut	b l u t	178
312	English	blood	15	blʌd	blʌd	b l ʌ d	178
313	French	blood	15	sɑ̃	sɑ̃	s ɑ̃	176
314	Greek_Mod	blood	15	ˈe̞ma	e̞ma	e̞ m a	179
315	Italian	blood	15	'sangwe	sangwe	s a n g w e	176
316	Marathi	blood	15	'ɾəktə	ɾəktə	ɾ ə k t ə	180
317	Polish	blood	15	krɛf	krɛf	k r ɛ f	177
318	Portuguese_ST	blood	15	ˈsɐ̃ɣɨ	sɐ̃ɣɨ	s ɐ̃ ɣ ɨ	176
319	Russian	blood	15	krovʲ	krovʲ	k r o vʲ	177
320	Spanish	blood	15	'saŋɡɾe	saŋɡɾe	s a ŋ ɡ ɾ e	176
321	Swedish	blood	15	blu:d	bluːd	b l uː d	178
322	Bihari	blood	15	sonit	sonit	s o n i t	174
323	Oriya	blood	15	rɔktɔ	rɔktɔ	r ɔ k t ɔ	181
324	Urdu	blood	15	χun	χun	χ u n	182
# 
325	Armenian_Mod	blow	16	pʰəˈʧʰɛl	pʰəʧʰɛl	pʰ ə ʧʰ ɛ l	183
326	Czech	blow	16	foʊ̯kat	foʊ̯kat	f oʊ̯ k a t	187
327	German	blow	16	've:ən	veːən	v eːə n	189
328	Greek_Mod	blow	16	fiˈso̞	fiso̞	f i s o̞	185
329	Italian	blow	16	sof'fjare	soffjare	s o fː j a r e	190
330	Portuguese_ST	blow	16	suˈpɾaɾ	supɾaɾ	s u p ɾ a ɾ	190
331	Russian	blow	16	dutʲ	dutʲ	d u tʲ	193
332	Spanish	blow	16	so'plaɾ	soplaɾ	s o p l a ɾ	190
333	Swedish	blow	16	'blo:sa	bloːsa	b l oː s a	188
334	Catalan	blow	16	bu'fa	bufa	b u f a	186
335	Breton_ST	blow	16	'xwe:zã	xweːzã	x w eː z ã	185
336	Danish	blow	16	ˈb̥lεːsə	b̥lɛːsə	b̥ l ɛː s ə	188
337	Dutch_List	blow	16	'wayə(n)	wayən	w ayə n	189
338	English	blow	16	bləʊ	bləʊ	b l əʊ	188
339	French	blow	16	sufle	sufle	s u f l e	190
340	Bihari	blow	16	phukəb	pʰukəb	pʰ u k ə b	184
341	Bihari	blow	16	surkəb	surkəb	s u r k ə b	194
342	Bihari	blow	16	hawa bəhəb	hawa#bəhəb	h a w a # b ə h ə b	195
343	Oriya	blow	16	bohiba	bohiba	b o h i b a	191
344	Urdu	blow	16	pʰũknə	pʰuːknə	pʰ uː k n ə	184
345	Dutch_List	blow	16	'blazə(n)	blazən	b l a z ə n	188
346	Polish	blow	16	ˈdmuxaʨ	dmuxaʨ	d m u x a ʨ	192
347	Marathi	blow	16	uɖ'ɳe	uɖɳe	u ɖ ɳ e	184
# 
348	Czech	bone	17	kost	kost	k o s t	200
349	Armenian_Mod	bone	17	vosˈkoɾ	voskoɾ	v o s k o ɾ	196
350	Breton_ST	bone	17	ˈaskɔrn	askɔrn	a s k ɔ r n	198
351	Catalan	bone	17	ɔs	ɔs	ɔ s	199
352	Danish	bone	17	b̥en	b̥en	b̥ e n	201
353	Dutch_List	bone	17	ben, bɔt	ben	b e n	201
354	English	bone	17	bəʊn	bəʊn	b əʊ n	201
355	French	bone	17	ɔs	ɔs	ɔ s	199
356	German	bone	17	'knɔxn̩	knɔxn̩	k n ɔ x n̩	202
357	Greek_Mod	bone	17	ˈko̞kaˌlo̞	ko̞kalo̞	k o̞ k a l o̞	203
358	Italian	bone	17	'ɔsso	ɔsso	ɔ sː o	199
359	Marathi	bone	17	haɖ	haɖ	h a ɖ	197
360	Polish	bone	17	kɔɕʨ	kɔɕʨ	k ɔ ɕ ʨ	200
361	Portuguese_ST	bone	17	ˈosu	osu	o s u	199
362	Russian	bone	17	kostʲ	kostʲ	k o s tʲ	200
363	Spanish	bone	17	'weso	weso	w e s o	199
364	Swedish	bone	17	beːn	beːn	b eː n	201
365	Bihari	bone	17	həɖɖi	həɖɖi	h ə ɖː i	197
366	Oriya	bone	17	haḍɔ	haɖɔ	h a ɖ ɔ	197
367	Urdu	bone	17	həɖːi	həɖːi	h ə ɖː i	197
368	Dutch_List	bone	17	ɣrat	ɣrat	ɣ r a t	204
# 
369	Bihari	breast	18	cuci	cuci	c u c i	206
370	Oriya	breast	18	dud	dud	d u d	210
371	Urdu	breast	18	pɪstɑn, sinə	pɪstɑn	p ɪ s t ɑ n	213
372	Italian	breast	18	'poppa	poppa	p o pː a	209
373	Italian	breast	18	mam'mɛlla	mammɛlla	m a mː ɛ lː a	214
374	French	breast	18	sɛ̃	sɛ̃	s ɛ̃	207
375	Polish	breast	18	pʲɛrɕ	pʲɛrɕ	pʲ ɛ r ɕ	211
376	Russian	breast	18	'grudʲ	grudʲ	g r u dʲ	205
377	Greek_Mod	breast	18	ˈstiθo̞s	stiθo̞s	s t i θ o̞ s	208
378	French	breast	18	mamɛl	mamɛl	m a m ɛ l	214
379	French	breast	18	tetɔ̃	tetɔ̃	t e t ɔ̃	215
380	Italian	breast	18	'tetta	tetta	t e tː a	215
381	Armenian_Mod	breast	18	kuɾʦkʰ	kuɾʦkʰ	k u ɾ ʦ kʰ	205
382	Spanish	breast	18	'peʧo	peʧo	p e ʧ o	212
# 
383	Armenian_Mod	breathe	19	ʃənˈʧʰɛl	ʃənʧʰɛl	ʃ ə n ʧʰ ɛ l	216
384	Czech	breathe	19	diːxat	diːxat	d iː x a t	220
