# SIN
ID	Languages	Gloss	GlossId	Ortho	IPA	CogID
30	Changsha	moon	2	月亮	ɥe²⁴ljan¹¹	7
31	Changsha	moon	2	月亮菩萨	ɥe²⁴ljan⁵⁵pu¹³sa²⁴	7
32	Changsha	moon	2	月亮巴巴	ɥe²⁴ljan⁵⁵pa³³pa	7
33	Guixian	moon	2	月亮	jɛ²¹ljaŋ²¹³	7
34	Xiamen	moon	2	月	geʔ⁵	11
35	Xiamen	moon	2	月娘	geʔ⁵nju³⁵	11
36	Hefei	moon	2	月亮	ɥɐʔ⁵ljɑ̃⁵³	7
37	Jinan	moon	2	月亮	ɥə²¹ljaŋ	7
38	Hangzhou	moon	2	月亮	ɦɥəʔ²ljɑŋ¹³	7
39	Guangzhou	moon	2	月光	jyt²kwɔŋ⁵⁵	8
40	Guangzhou	moon	2	月亮	jyt²lœŋ²²	7
41	Nanchang	moon	2	月光	ȵɥɵʔ²kwɔŋ⁴²	8
42	Chengdu	moon	2	月亮	ɥe³¹njaŋ¹³	7
43	Taiyuan	moon	2	月明	ɥəʔ²mi⁴⁵	10
44	Taiyuan	moon	2	月亮	ɥəʔ²ljɒ̃⁴⁵	7
45	Shexian	moon	2	月亮	we²²lja²²	9
46	Beijing	moon	2	月亮	ɥɛ⁵¹ljɑŋ¹	7
47	Kunming	moon	2	月亮	jɛ³¹ljᴀ̃²¹²	7
48	Kunming	moon	2	太阴	tʰæ²¹²ĩ⁴⁴	12
49	Shanghai	moon	2	月亮	ɦɥɪʔ¹ljã¹³	7
50	Shanghai	moon	2	月光	ɦɥɪʔ¹kwɑ̃⁵³	8
# 
51	Meixian	star	3	星儿	sen⁴⁴ne	13
52	Changsha	star	3	星子	sin³³ʦɿ	13
53	Guixian	star	3	星宿	ɕin⁵⁵ɕju²¹³	13
54	Xiamen	star	3	星	ʦʰĩ⁵⁵	15
55	Hefei	star	3	星	ɕin²¹	13
56	Jinan	star	3	星	ɕiŋ²¹³	13
57	Hangzhou	star	3	星	ɕin³³	13
58	Guangzhou	star	3	星	seŋ⁵⁵	13
59	Nanchang	star	3	星子	sjɑŋ⁴²ʦɿ⁰²	13
60	Chengdu	star	3	星星儿	ɕin⁵⁵ɕir⁵⁵	13
61	Taiyuan	star	3	星宿	ɕi¹¹ɕjəwiəu⁴⁵	13
62	Shexian	star	3	天星	tʰe³¹sjʌ̃³¹	14
63	Beijing	star	3	星星	ɕiŋ⁵⁵ɕiŋ²	13
64	Kunming	star	3	星宿	ɕĩ⁴⁴ɕjəwiəu²¹²	13
65	Shanghai	star	3	星	ɕiŋ⁵³	13
# 
66	Meixian	thunder	4	响雷公	hjoŋ³¹lwi¹¹kuŋ⁴⁴	18
67	Changsha	thunder	4	打雷	ta⁴¹lej¹³	16
68	Guixian	thunder	4	打雷	ta⁴²lwejuei²¹	17
69	Guixian	thunder	4	吼雷	xəw⁴²lwejuei²¹	17
70	Xiamen	thunder	4	陈雷	tan³⁵lwi	20
71	Hefei	thunder	4	打雷	ta²⁴le⁵⁵	16
72	Jinan	thunder	4	打雷	ta⁵⁵lwejuei⁴²	17
73	Hangzhou	thunder	4	打雷	tɑ⁵³lej²¹³	16
74	Guangzhou	thunder	4	行雷	haŋ²¹løɥ²¹	18
75	Nanchang	thunder	4	恨雷	hɛn²¹lwi⁴⁵	18
76	Nanchang	thunder	4	打雷	tɑ²¹³lwi⁴⁵	17
77	Chengdu	thunder	4	打雷	ta⁵³nwejuei³¹	17
78	Chengdu	thunder	4	响雷	ɕjaŋ⁵³nwejuei³¹	17
79	Taiyuan	thunder	4	响忽雷	xjɒ̃⁵³xwəʔ²lwejuei¹¹	17
80	Shexian	thunder	4	打霹雳	ta³⁵pʰɛ²¹lɛ	16
81	Shexian	thunder	4	打天雷	ta³⁵tʰe³¹lɛ⁴⁴	16
82	Beijing	thunder	4	打雷	ta²¹⁴lej³⁵	16
83	Kunming	thunder	4	升雷	ʂə̃⁴⁴lwejuei³¹	17
84	Shanghai	thunder	4	雷响	le¹³ɕjã³⁴	19
85	Shanghai	thunder	4	打雷	tã³⁵le²³	16
# 
86	Changsha	lightning	5	扯闪	t͡ʂʰʅ⁴¹ʂə̃⁴¹	22
87	Guixian	lightning	5	火闪	xo⁴²san⁴²	22
88	Guixian	lightning	5	扯火闪	ʦʰej⁴²xo⁴²san⁴²	26
89	Hefei	lightning	5	打闪	ta²⁴ʂən²⁴	22
90	Jinan	lightning	5	打闪	ta⁵⁵ʂã⁵⁵	22
91	Hangzhou	lightning	5	霍闪	hwoʔ⁵sɥõ⁵³	23
92	Guangzhou	lightning	5	闪电	sim³⁵tin²²	21
93	Guangzhou	lightning	5	摄电	sip³tin²²	21
94	Nanchang	lightning	5	打霍闪	tɑ²¹³fɔʔ⁵sɛn⁰²	24
95	Chengdu	lightning	5	火闪	xo⁵³san⁵³	22
96	Taiyuan	lightning	5	打闪	ta⁵³sæ̃⁵³	22
97	Shexian	lightning	5	打热闪	ta³⁵ne²²ɕɥe³²⁴	25
98	Shexian	lightning	5	扯热闪	ʨʰja³⁵ne²²ɕɥe³²⁴	25
99	Beijing	lightning	5	闪电	ʂan²¹⁴tjan⁵¹	21
100	Kunming	lightning	5	扯闪	t͡ʂʰə⁵³ʂᴀ̃⁵³	22
101	Shanghai	lightning	5	霍险	hoʔ⁵ɕi³⁵	23
102	Shanghai	lightning	5	闪电	sø³⁵di¹³	21
# 
103	Meixian	rain	6	落雨	lok⁵i³¹	28
104	Changsha	rain	6	落雨	lo²⁴y⁴¹	28
105	Guixian	rain	6	下雨	ɕja²¹³i⁴²	27
106	Guixian	rain	6	落雨	lo²¹i⁴²	28
107	Xiamen	rain	6	落雨	loʔ⁵hɔ²²	28
108	Hefei	rain	6	下雨	ɕja⁵³zy²⁴	27
109	Jinan	rain	6	下雨	ɕja²¹y⁵⁵	27
110	Hangzhou	rain	6	落雨	loʔ²y⁵³	28
111	Guangzhou	rain	6	落雨	lɔk²jy²³	28
112	Nanchang	rain	6	落雨	lɔʔ²y²¹³	28
113	Chengdu	rain	6	下雨	ɕja¹³y⁵³	27
114	Chengdu	rain	6	落雨	no³¹y⁵³	28
115	Taiyuan	rain	6	下雨	xa⁴⁵y⁵³	27
116	Shexian	rain	6	落雨	lɔ²²y³⁵	28
117	Beijing	rain	6	下雨	ɕja⁵¹y²¹⁴	27
118	Kunming	rain	6	下雨	ɕjᴀ²¹²i⁵³	27
119	Shanghai	rain	6	落雨	loʔ¹ɦy²³	28
# 
120	Meixian	snow	7	落雪	lok⁵sjet¹	30
121	Changsha	snow	7	落雪	lo²⁴sje²⁴	30
122	Guixian	snow	7	下雪	ɕja²¹³ɕjɛ²¹	29
123	Xiamen	snow	7	落雪	loʔ⁵seʔ³²	30
124	Hefei	snow	7	下雪	ɕja⁵³ɕɥɐʔ⁵	29
125	Jinan	snow	7	下雪	ɕja²¹ɕɥə²¹³	29
126	Jinan	snow	7	落雪	lwə²¹ɕɥə²¹³	30
127	Hangzhou	snow	7	落雪	loʔ²ɕjəʔ⁵	30
128	Guangzhou	snow	7	落雪	lɔk²syt³	30
129	Nanchang	snow	7	落雪	lɔʔ²ɕɥɵʔ⁵	30
130	Chengdu	snow	7	下雪	ɕja¹³ɕɥe³¹	29
131	Chengdu	snow	7	落雪	no³¹ɕɥe³¹	30
132	Taiyuan	snow	7	下雪	xa⁴⁵ɕɥəʔ²	29
133	Shexian	snow	7	落雪	lɔ²²ɕɥeʔ²¹	30
134	Beijing	snow	7	下雪	ɕja⁵¹ɕɥɛ²¹⁴	29
135	Kunming	snow	7	下雪	ɕjᴀ²¹²ɕjɛ³¹	29
136	Shanghai	snow	7	落雪	loʔ¹ɕjɪʔ⁵	30
# 
137	Meixian	hail	8	雹	pʰok⁵	31
138	Changsha	hail	8	冰雹	pin³³pʰaw⁵⁵	32
139	Guixian	hail	8	冰雹	pin⁵⁵pa	32
140	Guixian	hail	8	白雨	pɛ²¹i⁴²	31
141	Xiamen	hail	8	雹	pʰawʔ⁵	31
142	Hefei	hail	8	盐豆子	jɪ̃⁵⁵tɯ⁵³ʦə	33
143	Jinan	hail	8	雹子	pa⁴²ʦɿ	31
144	Jinan	hail	8	冷子	ləŋ⁵⁵ʦɿ	34
145	Hangzhou	hail	8	冰雹	pin³³bɔ²¹³	32
146	Guangzhou	hail	8	雹	pɔk²	31
147	Guangzhou	hail	8	雪珠	syt³ʦy⁵⁵	35
148	Nanchang	hail	8	雹子	pʰɔʔ²ʦɿ⁰²	31
149	Chengdu	hail	8	冰雹子	pin⁵⁵paw¹³ʦɿ⁵³	32
150	Chengdu	hail	8	冰弹子	pin⁵⁵tan¹³ʦɿ⁵³	34
151	Chengdu	hail	8	雪弹子	ɕɥe³¹tan¹³ʦɿ⁵³	33
152	Taiyuan	hail	8	冷弹子	ləŋ⁵³tæ̃⁴⁵ʦəʔ	34
153	Shexian	hail	8	冰雹	pjʌ̃³¹pʰɔ²²	32
154	Beijing	hail	8	雹子	pɑw³⁵ʦɿ³	31
155	Kunming	hail	8	冰雹	pĩ⁴⁴pɔ²¹²	32
156	Kunming	hail	8	雪弹子	ɕjɛ³¹tᴀ̃²¹²ʦɿ	33
157	Kunming	hail	8	雪薄子	ɕjɛ³¹po³¹ʦɿ⁵³	33
158	Shanghai	hail	8	冰雹	piŋ⁵³bɔ³	32
# 
159	Meixian	freeze	9	结冰	kjat¹pen⁴⁴	36
160	Changsha	freeze	9	下凌	ɕja¹¹lin¹¹	37
161	Changsha	freeze	9	构凌	kəw⁵⁵lin¹¹	40
162	Guixian	freeze	9	结冰	ʨjɛ²¹pin	36
163	Guixian	freeze	9	起凌冰	ʨʰi⁴²lin²¹³pin⁵⁵	36
164	Xiamen	freeze	9	结冰	kjat³²piŋ⁵⁵	36
165	Xiamen	freeze	9	坚冰	kjan⁵⁵piŋ⁵⁵	36
166	Hefei	freeze	9	结冰	ʨiʔ⁵pin²¹	36
167	Jinan	freeze	9	冻冻	tuŋ²¹³tuŋ	38
168	Hangzhou	freeze	9	结冰	ʨjəʔ⁵pin³³	36
169	Guangzhou	freeze	9	结冰	kit³peŋ⁵⁵	36
170	Nanchang	freeze	9	结冰	ʨjɛʔ⁵pin⁴²	36
171	Nanchang	freeze	9	凌到了	lɛn²¹tɑw⁰²ljɛwiɛu⁰²	41
172	Chengdu	freeze	9	结冰	ʨje³¹pin⁵⁵	36
173	Taiyuan	freeze	9	冻冰	twəŋ⁴⁵pjəŋ¹¹	39
174	Shexian	freeze	9	冻冰	tʌ̃³²⁴pjʌ̃³¹	39
175	Beijing	freeze	9	结冰	ʨjɛ⁵⁵piŋ⁵⁵	36
176	Kunming	freeze	9	结冰	ʨjɛ³¹pĩ⁴⁴	36
177	Shanghai	freeze	9	结冰	ʨjɪʔ⁵piŋ⁵³	36
# 
178	Meixian	blow	10	起风	hi³¹fuŋ⁴⁴	42
179	Changsha	blow	10	起风	ʨʰi⁴¹xoŋ³³	42
180	Changsha	blow	10	发风	fa²⁴xoŋ³³	44
181	Guixian	blow	10	吹风	ʦʰwejuei⁵⁵foŋ⁵⁵	42
182	Xiamen	blow	10	起风	kʰi⁵³hɔŋ⁵⁵	42
183	Hefei	blow	10	起风	ʦʰɿ²⁴fəŋ²¹	42
184	Jinan	blow	10	刮风	kwa²¹³fəŋ²¹³	42
185	Hangzhou	blow	10	起风	ʨʰi⁵³foŋ³³	42
186	Hangzhou	blow	10	刮风	kwɑʔ⁵foŋ³³	42
187	Guangzhou	blow	10	翻风	fan⁵³foŋ⁵³	43
188	Guangzhou	blow	10	打风刮台风	ta³⁵foŋ⁵³	42
189	Nanchang	blow	10	起风	ʨʰi²¹³fuŋ⁴²	42
190	Chengdu	blow	10	刮风	kwa³¹foŋ⁵⁵	42
191	Chengdu	blow	10	起风	ʨʰi⁵³foŋ⁵⁵	42
192	Chengdu	blow	10	吹风	ʦʰwejuei⁵⁵foŋ⁵⁵	42
193	Taiyuan	blow	10	刮风	kwaʔ²fəŋ¹¹	42
194	Shexian	blow	10	起风	ʨʰi³⁵fʌ̃³¹	42
195	Shexian	blow	10	发风	fa²¹fʌ̃³¹	42
196	Beijing	blow	10	刮风	kwa⁵⁵fəŋ⁵⁵	42
197	Kunming	blow	10	刮风	kwᴀ³¹foŋ⁴⁴	42
198	Kunming	blow	10	起风	ʨʰi⁵³foŋ⁴⁴	42
199	Shanghai	blow	10	起风	ʨʰi³⁵foŋ⁵³	42
200	Shanghai	blow	10	刮风	kwaʔ⁵foŋ⁵³	42
# 
201	Meixian	rainbow	11	天弓	tʰjen⁴⁴kjuŋ⁴⁴	49
202	Changsha	rainbow	11	虹	kan⁵⁵	46
203	Guixian	rainbow	11	虹	kaŋ²¹³	46
204	Xiamen	rainbow	11	虹	kʰiŋ²²	46
205	Hefei	rainbow	11	虹	ʨjɑ̃⁵³	45
206	Jinan	rainbow	11	虹	ʨjaŋ²¹	45
207	Hangzhou	rainbow	11	鱟	hej⁴⁴⁵	48
208	Guangzhou	rainbow	11	虹	hoŋ²¹	47
209	Nanchang	rainbow	11	虹	kɔŋ⁴⁵	46
210	Chengdu	rainbow	11	虹	xoŋ³¹	47
211	Chengdu	rainbow	11	彩虹	ʦʰaj⁵³xoŋ³¹	50
212	Chengdu	rainbow	11	天桥	tʰjan⁵⁵ʨʰjawiau³¹	49
213	Taiyuan	rainbow	11	虹	ʨjɒ̃⁵³	45
214	Shexian	rainbow	11	虹	ka³²⁴	46
215	Shexian	rainbow	11	彩虹	ʦʰɛ³⁵ka³²⁴	51
216	Beijing	rainbow	11	虹	ʨjɑŋ⁵¹	45
217	Kunming	rainbow	11	虹	kᴀ̃²¹²	46
218	Shanghai	rainbow	11	鲎	hɤ³⁵	48
219	Shanghai	rainbow	11	彩虹	ʦʰe³⁵ɦoŋ¹³	50
# 
220	Meixian	this year	15	今年	kin⁴⁴ŋjan¹¹	53
221	Changsha	this year	15	今年	ʨin³³ȵjẽ¹³	53
222	Guixian	this year	15	今年	ʨin⁵⁵ljan²¹	53
223	Guixian	this year	15	真年	ʦen⁵⁵ljan²¹	53
224	Xiamen	this year	15	今年	kin⁵⁵ni³⁵	52
225	Hefei	this year	15	今年	ʨin²¹ljɪ̃⁵⁵	53
226	Jinan	this year	15	今年	ʨjẽ²¹³jã⁴²	54
227	Hangzhou	this year	15	根年	ken³³ȵjᴇ̃²¹³	53
228	Guangzhou	this year	15	今年	kɐm⁵³nin²¹	52
229	Nanchang	this year	15	今年	ʨin⁴²ȵjɛn⁰²	53
230	Chengdu	this year	15	今年	ʨin⁵⁵ȵjan³¹	53
231	Taiyuan	this year	15	今年	ʨjəŋ¹¹nje¹¹	53
232	Shexian	this year	15	根年	kʌ̃³¹ne⁴⁴	53
233	Beijing	this year	15	今年个	ʨin⁵⁵njan³⁵kə³	53
234	Kunming	this year	15	今年	ʨĩ⁴⁴njɛ̃³¹	53
235	Shanghai	this year	15	今年	ʨiŋ⁵³ȵi¹³	53
# 
236	Meixian	today	20	今日	kim⁴⁴ŋit¹	57
237	Changsha	today	20	今朝	ʨin³³t͡ʂaw³³	56
238	Changsha	today	20	今日	ʨin³³ʐʅ²⁴	58
239	Guixian	today	20	今天	ʨin⁵⁵tʰjan⁵⁵	56
240	Guixian	today	20	真天	ʦen⁵⁵tʰjan⁵⁵	56
241	Xiamen	today	20	今仔日	kin⁵⁵na⁵³lit⁵	57
242	Hefei	today	20	皆个	ʨi²¹kə	55
243	Jinan	today	20	今天	ʨjẽ²¹³tʰjã²¹³	56
244	Jinan	today	20	今们儿	ʨi²¹³mer	60
245	Hangzhou	today	20	根朝	ken³³ʦɔ³³	56
246	Guangzhou	today	20	今日	kɐm⁵³jɐt²	57
247	Nanchang	today	20	今日	ʨin⁴²ȵiʔ⁰²	59
248	Chengdu	today	20	今天	ʨin⁵⁵tʰjan⁵⁵	56
249	Taiyuan	today	20	今日	ʨjəŋ¹¹zəŋ²	58
250	Taiyuan	today	20	今天	ʨjəŋ¹¹tʰje¹¹	56
251	Shexian	today	20	昨日	ʦʰo²²ni²²	59
252	Shexian	today	20	昨朝	ʦʰo²²ʨjɔ³¹	61
253	Beijing	today	20	今儿个	ʨjər⁵⁵kə²	55
254	Kunming	today	20	今儿日	ʨjə⁴⁴ʐʅ³¹	58
255	Shanghai	today	20	今朝	ʨiŋ⁵³ʦɔ⁵³	56
# 
256	Meixian	wheat	22	麦儿	mak⁵e	62
257	Changsha	wheat	22	麦子	mə²⁴ʦɿ	62
258	Guixian	wheat	22	麦子	mɛ²¹ʦɿ⁴²	62
259	Xiamen	wheat	22	麦仔	beʔ⁵ja⁵³	64
260	Xiamen	wheat	22	麦	beʔ⁵	64
261	Hefei	wheat	22	麦子	mɐʔ⁵ʦə	62
262	Jinan	wheat	22	麦子	mej²¹ʦɿ	62
263	Hangzhou	wheat	22	麦子	mɑʔ²ʦɿ⁵³	62
264	Guangzhou	wheat	22	麦	mɐk²	62
265	Nanchang	wheat	22	麦子	mɑʔ²ʦɿ⁰²	62
266	Chengdu	wheat	22	麦子	me³¹ʦɿ⁵³	62
267	Taiyuan	wheat	22	麦子	mjəʔ²ʦəʔ	62
268	Shexian	wheat	22	小麦	sjɔ³⁵mɛ²²	63
269	Shexian	wheat	22	麦	mɛ²²	62
270	Beijing	wheat	22	麦子	maj⁵¹ʦɿ¹	62
271	Kunming	wheat	22	麦子	mə³¹ʦɿ⁵³	62
272	Shanghai	wheat	22	麦子	maʔ¹ʦɿ³⁵	62
# 
273	Meixian	sunflower	24	向日葵	hjoŋ⁵³ŋit¹kʰwi¹¹	67
274	Changsha	sunflower	24	葵花	kwejuei¹³fa³³	66
275	Guixian	sunflower	24	葵花	kʰwejuei²¹xwa⁵⁵	66
276	Xiamen	sunflower	24	向日葵	hjɔŋ²¹lit⁵kʰwi	67
277	Xiamen	sunflower	24	向阳花	hjɔŋ²¹jɔŋ³⁵hwe⁵⁵	71
278	Hefei	sunflower	24	葵花	kʰwe⁵⁵xwa²¹	66
279	Jinan	sunflower	24	朝阳花	t͡ʂʰaŋ⁴²jaŋxwa²¹³	68
280	Hangzhou	sunflower	24	葵花	gwi²¹³hwɑ³³	66
281	Hangzhou	sunflower	24	向日葵	ɕjɑŋ⁴⁴⁵zʔ²gwi²¹³	67
282	Guangzhou	sunflower	24	向日葵	hœŋ³³jɐt²kʰwɐj²¹	67
283	Guangzhou	sunflower	24	葵花	kʰwɐj²¹fa⁵⁵	66
284	Nanchang	sunflower	24	葵花	kʰwi²⁴fɑ⁴²	66
285	Chengdu	sunflower	24	向日葵	ɕjaŋ¹³zɿ³¹kʰwejuei³¹	67
286	Chengdu	sunflower	24	向儿葵	ɕjaŋ¹³ər³¹kʰwejuei³¹	67
287	Chengdu	sunflower	24	葵花	kʰwejuei³¹xwa⁵⁵	66
288	Taiyuan	sunflower	24	葵花	kʰwejuei¹¹xwa¹¹	66
289	Shexian	sunflower	24	葵花莲	kʰwe⁴⁴xwa³¹le⁴⁴	66
290	Shexian	sunflower	24	丝瓜莲	s³¹kwa³¹le⁴⁴	70
291	Beijing	sunflower	24	转日莲	t͡ʂwan⁵¹ʐʅ¹ljan³⁵	65
292	Beijing	sunflower	24	向日葵	ɕjaŋ⁵¹ʐʅ¹kʰwejuei³⁵	67
293	Beijing	sunflower	24	葵花	kʰwejuei³⁵xwa⁵⁵	66
294	Kunming	sunflower	24	朝阳饼	t͡ʂʰ³¹jᴀ̃³¹pĩ⁵³	69
295	Shanghai	sunflower	24	向日葵	ɕjã³⁵zəʔ¹²gwe¹³	67
296	Shanghai	sunflower	24	葵花	gwe¹³ho⁵³	66
# 
297	Meixian	spinach	25	角菜儿	kok¹ʦʰoj⁵³je	73
298	Changsha	spinach	25	菠菜	po³³ʦʰaj⁵⁵	72
299	Guixian	spinach	25	菠菜	po⁵⁵ʦʰaj²¹³	72
300	Xiamen	spinach	25	菠菱菜	pe⁵⁵liŋ³⁵ʦʰaj²¹	74
301	Hefei	spinach	25	菠菜	pu²¹ʦʰᴇ⁵³	72
302	Jinan	spinach	25	菠菜	pə²¹³ʦʰɛ	72
303	Hangzhou	spinach	25	菠菜	po³³ʦʰᴇ⁴⁴⁵	72
304	Guangzhou	spinach	25	菠菜	pɔ⁵³ʦʰɔj³³	72
305	Nanchang	spinach	25	菠菜	po⁴²ʦʰaj⁰²	72
306	Chengdu	spinach	25	菠菜	po⁵⁵ʦʰaj¹³	72
307	Taiyuan	spinach	25	青菜	ʨʰi¹¹ʦʰaj⁴⁵	73
308	Taiyuan	spinach	25	菠菜	pɤ¹¹ʦʰaj⁴⁵	72
309	Shexian	spinach	25	菠菜	po³¹ʦʰɛ³²⁴	72
310	Beijing	spinach	25	菠菜	po³⁵ʦʰaj⁵¹	72
311	Kunming	spinach	25	菠菜	po⁴⁴ʦʰæ²¹²	72
312	Shanghai	spinach	25	菠菜	pu⁵³ʦʰe³⁵	72
# 
313	Meixian	cabbage	26	包菜	paw⁴⁴ʦʰoj⁵³	76
314	Changsha	cabbage	26	包菜	paw³³ʦʰaj⁵⁵	76
315	Guixian	cabbage	26	裹心白	ko⁴²ɕin⁵⁵pɛ²¹	77
316	Xiamen	cabbage	26	高丽菜	ko⁵⁵le³⁵ʦʰaj²¹	82
317	Hefei	cabbage	26	包头菜	pu²¹tʰɯ⁵⁵ʦʰᴇ⁵³	79
318	Jinan	cabbage	26	卷心菜	ʨɥã⁵⁵ɕjẽ²¹³ʦʰɛ²¹	77
319	Jinan	cabbage	26	洋白菜	jaŋ⁴²pej⁴²ʦʰɛ	75
320	Jinan	cabbage	26	圆白菜	ɥã⁴²pej⁴²ʦʰɛ²¹	75
321	Hangzhou	cabbage	26	包心菜	pɔ³³ɕin³³ʦʰᴇ⁴⁴⁵	77
322	Guangzhou	cabbage	26	椰菜	jɛ²¹ʦʰɔj³³	78
323	Nanchang	cabbage	26	包菜	pɑw⁴²ʦʰaj⁰²	76
324	Chengdu	cabbage	26	卷心白	ʨɥan⁵³ɕin⁵⁵pe³¹	77
325	Chengdu	cabbage	26	莲花白	njan³¹xwa⁵⁵pe³¹	80
326	Taiyuan	cabbage	26	茴子白	xwejuei¹¹ʦəʔpaj¹¹	81
327	Shexian	cabbage	26	甘蓝菜	kɛ³¹lɛ⁴⁴ʦʰɛ³²⁴	79
328	Beijing	cabbage	26	洋白菜	jɑŋ³⁵paj³⁵ʦʰaj⁵¹	75
329	Kunming	cabbage	26	莲花白	ljɛ̃³¹xwᴀ⁴⁴pə³¹	80
330	Shanghai	cabbage	26	卷心菜	ʨɥø³⁵ɕiŋ⁵³ʦʰe³⁵	77
# 
331	Meixian	sweet potato	29	番薯	fan⁴⁴su¹¹	85
332	Changsha	sweet potato	29	红薯	xoŋ¹³ɕy¹¹	84
333	Guixian	sweet potato	29	饭薯	fan²¹³su²¹	85
334	Guixian	sweet potato	29	白苕	pɛ²¹sa²¹	83
335	Xiamen	sweet potato	29	番藷	han⁵⁵ʦu³⁵	89
336	Hefei	sweet potato	29	芋头	zy⁵³tʰɯ	86
337	Jinan	sweet potato	29	地瓜	ti²¹kwa²¹³	87
338	Hangzhou	sweet potato	29	番薯	fᴇ̃³³ʣy¹³	85
339	Guangzhou	sweet potato	29	番薯	fan⁵³sy²¹	85
340	Nanchang	sweet potato	29	萝卜薯	lo⁴⁵pʰo⁰⁴ɕy⁴⁵	88
341	Nanchang	sweet potato	29	红薯	fuŋ⁴⁵ɕy⁴⁵	85
342	Chengdu	sweet potato	29	红苕	xoŋ³¹saw³¹	84
343	Taiyuan	sweet potato	29	红薯	xwəŋ¹¹su⁵³	84
344	Shexian	sweet potato	29	山芋	sa³¹y²²	86
345	Beijing	sweet potato	29	白薯	paj³⁵ʂu²¹⁴	83
346	Kunming	sweet potato	29	白薯	pə³¹t͡ʂʰu⁵³	83
347	Shanghai	sweet potato	29	山芋	se⁵³ɦy¹³	86
# 
348	Meixian	pig	32	猪儿	ʦu⁴⁴ve	90
349	Changsha	pig	32	猪	ʨy³³	90
350	Guixian	pig	32	猪	ʦu⁵⁵	90
351	Xiamen	pig	32	猪	ti⁵⁵	92
352	Hefei	pig	32	猪	t͡ʂu²¹	90
353	Jinan	pig	32	猪	t͡ʂu²¹³	90
354	Hangzhou	pig	32	猪	ʦy³³	90
355	Hangzhou	pig	32	肉猪	zoʔ²ʦy³³	93
356	Guangzhou	pig	32	猪	ʦy⁵⁵	90
357	Nanchang	pig	32	猪	ʨy⁴²	90
358	Chengdu	pig	32	猪	ʦu⁵⁵	90
359	Taiyuan	pig	32	猪	ʦu¹¹	90
360	Shexian	pig	32	猪	ʨy³¹	90
361	Beijing	pig	32	猪	t͡ʂu⁵⁵	90
362	Kunming	pig	32	猪	t͡ʂu⁴⁴	90
363	Shanghai	pig	32	猪猡	ʦɿ⁵³lu¹³	91
# 
364	Meixian	rooster	35	鸡公	ke⁴⁴kuŋ⁴⁴	95
365	Changsha	rooster	35	叫鸡公	ʨjawiau⁵⁵ʨi³³koŋ³³	94
366	Guixian	rooster	35	公鸡	koŋ⁵⁵ʨi⁵⁵	96
367	Xiamen	rooster	35	鸡角	kwe⁵⁵kak³²	97
368	Hefei	rooster	35	公鸡	kəŋ²¹ʦɿ²¹	96
369	Jinan	rooster	35	公鸡	kuŋ²¹³ʨi	96
370	Hangzhou	rooster	35	雄鸡	ɦjoŋ²¹³ʨi³³	96
371	Hangzhou	rooster	35	童子鸡	doŋ²¹³ʦɿ⁵³ʨi³³	96
372	Guangzhou	rooster	35	鸡公	kɐj⁵⁵koŋ⁵⁵	95
373	Guangzhou	rooster	35	生鸡	saŋ⁵⁵kɐj⁵⁵	98
