# PAN
ID	Language	Gloss	GlossID	CogID	IPA	Tokens
45	Iban	right	3	27	kanan	k a n a n
46	Berawan (Long Terawan)	right	3	28	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h
47	Moken	right	3	32	nanaːn	n a n aː n
48	Hanunoo	right	3	25	sikun	s i k u n
49	Wuna	right	3	27	swana	s w a n a
50	Tetum	right	3	27	kwana	k w a n a
51	Mailu	right	3	29	iata	i a t a
52	Tsou	right	3	35	vhona	v h o n a
53	Nias	right	3	33	kawõlõ	k a w õ l õ
54	Central Amis	right	3	27	kawanan	k a w a n a n
55	Banoni	right	3	26	matoː	m a t oː
56	Singhi	right	3	34	toux	t o u x
57	Banggi	right	3	25	kikuan	k i k u a n
# 
58	Merina (Malagasy)	leg/foot	4	44	ranjo	r a n j o
59	Merina (Malagasy)	leg/foot	4	50	toŋotra	t o ŋ o t r a
60	Thao	leg/foot	4	42	kuskus	k u s k u s
61	Palauan	leg/foot	4	47	oacʰ	o a cʰ
62	Tunjung	leg/foot	4	41	uneŋ	u n e ŋ
63	Bare'e	leg/foot	4	38	witi	w i t i
64	Iban	leg/foot	4	42	kaki	k a k i
65	Iban	leg/foot	4	45	pah	p a h
66	Berawan (Long Terawan)	leg/foot	4	39	gimaʔ	g i m a ʔ
67	Moken	leg/foot	4	45	pakaʔ	p a k a ʔ
68	Moken	leg/foot	4	42	kakaj	k a k a j
69	Hanunoo	leg/foot	4	37	raparapa	r a p a r a p a
70	Wuna	leg/foot	4	42	gʰagʰe	gʰ a gʰ e
71	Tetum	leg/foot	4	48	ain	a i n
72	Mailu	leg/foot	4	43	au	a u
73	Tsou	leg/foot	4	49	ruru	r u r u
74	Nias	leg/foot	4	46	ahe	a h e
75	Central Amis	leg/foot	4	40	waqaj	w a q a j
76	Chamorro	leg/foot	4	41	adːeŋ	a dː e ŋ
77	Banoni	leg/foot	4	37	rapinːa	r a p i nː a
78	Singhi	leg/foot	4	48	peun	p e u n
79	Banggi	leg/foot	4	36	uei	u e i
# 
80	Maloh	to walk	5	58	lambaʔ	l a m b a ʔ
81	Merina (Malagasy)	to walk	5	59	mandéha	m a n d é h a
82	Palauan	to walk	5	60	merael	m e r a e l
83	Tunjung	to walk	5	62	calan	c a l a n
84	Bare'e	to walk	5	52	linja	l i n j a
85	Iban	to walk	5	56	jalai	j a l a i
86	Berawan (Long Terawan)	to walk	5	53	lakaw	l a k a w
87	Moken	to walk	5	53	lakaw	l a k a w
88	Hanunoo	to walk	5	54	lumakaw	l u m a k a w
89	Wuna	to walk	5	63	nokala	n o k a l a
90	Tetum	to walk	5	55	laʔo	l a ʔ o
91	Mailu	to walk	5	57	baebae	b a e b a e
92	Tsou	to walk	5	61	coeconʉ	c o e c o n ʉ
93	Nias	to walk	5	51	fanõ	f a n õ
94	Central Amis	to walk	5	54	lumakat	l u m a k a t
95	Central Amis	to walk	5	54	rumakat	r u m a k a t
96	Chamorro	to walk	5	55	lahu	l a h u
97	Singhi	to walk	5	51	ponu	p o n u
98	Banggi	to walk	5	51	empaːno	e m p aː n o
# 
99	Maloh	road/path	6	66	dalan	d a l a n
100	Merina (Malagasy)	road/path	6	66	lalana	l a l a n a
101	Thao	road/path	6	66	saran	s a r a n
102	Palauan	road/path	6	69	rael	r a e l
103	Tunjung	road/path	6	66	loroŋ	l o r o ŋ
104	Bare'e	road/path	6	65	jaja	j a j a
105	Iban	road/path	6	67	jalai	j a l a i
106	Berawan (Long Terawan)	road/path	6	66	ilan	i l a n
107	Hanunoo	road/path	6	66	dalan	d a l a n
108	Wuna	road/path	6	70	sala	s a l a
109	Tetum	road/path	6	66	dalan	d a l a n
110	Mailu	road/path	6	68	laea	l a e a
111	Tsou	road/path	6	64	ceonʉ	c e o n ʉ
112	Nias	road/path	6	66	lala	l a l a
113	Central Amis	road/path	6	66	lalan	l a l a n
114	Chamorro	road/path	6	66	cʰalan	cʰ a l a n
115	Banoni	road/path	6	64	sanana	s a n a n a
116	Singhi	road/path	6	66	aran	a r a n
# 
117	Maloh	to come	7	78	mondok	m o n d o k
118	Merina (Malagasy)	to come	7	79	avj	a v j
119	Merina (Malagasy)	to come	7	74	toŋa	t o ŋ a
120	Thao	to come	7	81	munaj	m u n a j
121	Palauan	to come	7	72	méi	m é i
122	Tunjung	to come	7	82	moːt	m oː t
123	Bare'e	to come	7	72	maʔi	m a ʔ i
124	Iban	to come	7	76	datai	d a t a i
125	Berawan (Long Terawan)	to come	7	73	liʔ	l i ʔ
126	Moken	to come	7	71	ŋadin	ŋ a d i n
127	Hanunoo	to come	7	75	balik	b a l i k
128	Wuna	to come	7	72	mai	m a i
129	Tetum	to come	7	72	mai	m a i
130	Mailu	to come	7	77	ai	a i
131	Tsou	to come	7	73	oh	o h
132	Tsou	to come	7	83	uso	u s o
133	Nias	to come	7	72	mõi	m õ i
134	Central Amis	to come	7	74	tajni	t a j n i
135	Singhi	to come	7	80	nug	n u g
136	Banggi	to come	7	71	miaːtaŋ	m i aː t a ŋ
# 
137	Maloh	to turn	8	90	lempaŋ	l e m p a ŋ
138	Merina (Malagasy)	to turn	8	91	vilj	v i l j
139	Thao	to turn	8	94	taushuqish	t a u s h u q i s h
140	Palauan	to turn	8	92	meŋesoim	m e ŋ e s o i m
141	Tunjung	to turn	8	96	nencaŋ	n e n c a ŋ
142	Bare'e	to turn	8	85	gili	g i l i
143	Iban	to turn	8	89	bilok	b i l o k
144	Berawan (Long Terawan)	to turn	8	86	ŋəlibiʔ	ŋ ə l i b i ʔ
145	Moken	to turn	8	89	nʲiliək	nʲ i l i ə k
146	Hanunoo	to turn	8	88	simaŋ	s i m a ŋ
147	Wuna	to turn	8	97	nobelo	n o b e l o
148	Tetum	to turn	8	91	filas	f i l a s
149	Tetum	to turn	8	91	fila	f i l a
150	Tetum	to turn	8	99	faur	f a u r
151	Tsou	to turn	8	95	miunu	m i u n u
152	Central Amis	to turn	8	87	maliwuŋ	m a l i w u ŋ
153	Banoni	to turn	8	84	beruː	b e r uː
154	Banoni	to turn	8	98	vegom	v e g o m
155	Singhi	to turn	8	93	kus	k u s
# 
156	Maloh	to swim	9	103	arananaŋ	a r a n a n a ŋ
157	Merina (Malagasy)	to swim	9	104	lomano	l o m a n o
158	Merina (Malagasy)	to swim	9	104	milomano	m i l o m a n o
159	Thao	to swim	9	108	mrauz	m r a u z
160	Palauan	to swim	9	107	meŋedub	m e ŋ e d u b
161	Tunjung	to swim	9	102	karaŋoj	k a r a ŋ o j
162	Bare'e	to swim	9	101	naŋu	n a ŋ u
163	Iban	to swim	9	105	njemerai	n j e m e r a i
164	Berawan (Long Terawan)	to swim	9	102	pəloŋoj	p ə l o ŋ o j
165	Moken	to swim	9	101	naŋoj	n a ŋ o j
166	Hanunoo	to swim	9	104	lumaŋuj	l u m a ŋ u j
167	Wuna	to swim	9	102	leni	l e n i
168	Tetum	to swim	9	101	nani	n a n i
169	Mailu	to swim	9	106	loroloro	l o r o l o r o
170	Mailu	to swim	9	106	rolorolo	r o l o r o l o
171	Tsou	to swim	9	109	euhuŋzu	e u h u ŋ z u
172	Nias	to swim	9	102	molaŋi	m o l a ŋ i
173	Central Amis	to swim	9	102	laŋuj	l a ŋ u j
174	Central Amis	to swim	9	102	milaŋuj	m i l a ŋ u j
175	Chamorro	to swim	9	103	naŋunʲaŋu	n a ŋ u nʲ a ŋ u
176	Banoni	to swim	9	100	suː	s uː
177	Singhi	to swim	9	101	naŋuj	n a ŋ u j
# 
178	Merina (Malagasy)	dirty	10	118	maloto	m a l o t o
179	Thao	dirty	10	123	marisrisin	m a r i s r i s i n
180	Palauan	dirty	10	121	idokel	i d o k e l
181	Tunjung	dirty	10	118	marotaʔ	m a r o t a ʔ
182	Bare'e	dirty	10	111	sapa	s a p a
183	Iban	dirty	10	116	kamah	k a m a h
184	Berawan (Long Terawan)	dirty	10	112	labih	l a b i h
185	Moken	dirty	10	119	caʔiək	c a ʔ i ə k
186	Hanunoo	dirty	10	115	majagtiŋ	m a j a g t i ŋ
187	Hanunoo	dirty	10	126	maʔuriŋ	m a ʔ u r i ŋ
188	Wuna	dirty	10	124	noraku	n o r a k u
189	Tetum	dirty	10	122	kfur	k f u r
190	Tetum	dirty	10	128	karebo	k a r e b o
191	Mailu	dirty	10	117	milomilo	m i l o m i l o
192	Tsou	dirty	10	119	cai	c a i
193	Tsou	dirty	10	119	caʔi	c a ʔ i
194	Nias	dirty	10	120	moŋdaʔi	m o ŋ d a ʔ i
195	Central Amis	dirty	10	113	maacek	m a a c e k
196	Central Amis	dirty	10	125	makalit	m a k a l i t
197	Chamorro	dirty	10	114	hoplat	h o p l a t
198	Banoni	dirty	10	111	kiːpi	k iː p i
199	Singhi	dirty	10	116	kais	k a i s
200	Singhi	dirty	10	127	sirida	s i r i d a
201	Banggi	dirty	10	110	damak	d a m a k
# 
202	Merina (Malagasy)	dust	11	134	vovoka	v o v o k a
203	Bare'e	dust	11	131	awu	a w u
204	Iban	dust	11	132	abu	a b u
205	Iban	dust	11	132	apok	a p o k
206	Berawan (Long Terawan)	dust	11	132	apoʔ	a p o ʔ
207	Moken	dust	11	135	kaboj	k a b o j
208	Hanunoo	dust	11	132	gabuk	g a b u k
209	Hanunoo	dust	11	132	pukapuk	p u k a p u k
210	Tetum	dust	11	136	rai#ahun	r a i # a h u n
211	Mailu	dust	11	134	veve	v e v e
212	Central Amis	dust	11	133	taʔfod	t a ʔ f o d
213	Banoni	dust	11	130	ramuta	r a m u t a
214	Singhi	dust	11	132	abux	a b u x
215	Singhi	dust	11	132	sapok	s a p o k
216	Banggi	dust	11	129	auː	a uː
# 
217	Maloh	skin	12	139	kulit	k u l i t
218	Merina (Malagasy)	skin	12	144	hoditra	h o d i t r a
219	Thao	skin	12	146	shapa	s h a p a
220	Palauan	skin	12	145	budél	b u d é l
221	Tunjung	skin	12	139	kulit	k u l i t
222	Bare'e	skin	12	138	pela	p e l a
223	Iban	skin	12	139	kulit	k u l i t
224	Berawan (Long Terawan)	skin	12	139	kulaiʔ	k u l a i ʔ
225	Moken	skin	12	138	bulaŋ	b u l a ŋ
226	Hanunoo	skin	12	142	tarip	t a r i p
227	Hanunoo	skin	12	148	lukub	l u k u b
228	Wuna	skin	12	139	kuli	k u l i
229	Tetum	skin	12	139	kulit	k u l i t
230	Mailu	skin	12	143	opi	o p i
231	Tsou	skin	12	147	snʉ́fʉ	s n ʉ́ f ʉ
232	Nias	skin	12	138	uli	u l i
233	Central Amis	skin	12	140	faŋes	f a ŋ e s
234	Central Amis	skin	12	140	faŋes	f a ŋ e s
235	Chamorro	skin	12	141	lasːas	l a sː a s
236	Banoni	skin	12	137	kabunu	k a b u n u
237	Singhi	skin	12	139	kurit	k u r i t
238	Banggi	skin	12	137	kubal	k u b a l
# 
239	Maloh	back	13	150	balakaŋ	b a l a k a ŋ
240	Thao	back	13	158	rikus	r i k u s
241	Palauan	back	13	156	uulk	u u l k
242	Tunjung	back	13	160	puŋuŋ	p u ŋ u ŋ
243	Bare'e	back	13	150	taliku	t a l i k u
244	Iban	back	13	150	belakaŋ	b e l a k a ŋ
245	Berawan (Long Terawan)	back	13	150	likon	l i k o n
246	Moken	back	13	154	lekoːt	l e k oː t
247	Hanunoo	back	13	152	daju	d a j u
248	Tetum	back	13	157	kotːuk	k o tː u k
249	Mailu	back	13	153	deniabo	d e n i a b o
250	Mailu	back	13	152	doe	d o e
251	Tsou	back	13	159	fʔuhu	f ʔ u h u
252	Nias	back	13	155	hulu	h u l u
253	Central Amis	back	13	151	kulur	k u l u r
254	Central Amis	back	13	151	koror	k o r o r
255	Banoni	back	13	149	tsugʰi	t s u gʰ i
256	Singhi	back	13	157	dug	d u g
# 
257	Maloh	belly	14	166	bataŋ	b a t a ŋ
258	Merina (Malagasy)	belly	14	162	kibo	k i b o
259	Thao	belly	14	163	tiaz	t i a z
260	Palauan	belly	14	163	diil	d i i l
261	Tunjung	belly	14	169	naiʔ	n a i ʔ
262	Bare'e	belly	14	162	kompo	k o m p o
263	Iban	belly	14	164	perut	p e r u t
264	Berawan (Long Terawan)	belly	14	161	tijan	t i j a n
265	Moken	belly	14	167	lakeʔ	l a k e ʔ
266	Hanunoo	belly	14	161	tijan	t i j a n
267	Wuna	belly	14	170	tagʰi	t a gʰ i
268	Tetum	belly	14	162	kabun	k a b u n
269	Mailu	belly	14	165	amara	a m a r a
270	Tsou	belly	14	168	bʉeo	b ʉ e o
271	Nias	belly	14	163	talu	t a l u
272	Central Amis	belly	14	163	tial	t i a l
273	Central Amis	belly	14	163	tial	t i a l
274	Chamorro	belly	14	161	tujan	t u j a n
275	Banoni	belly	14	162	kobi	k o b i
276	Singhi	belly	14	161	tain	t a i n
277	Banggi	belly	14	161	tiagn	t i a g n
# 
278	Maloh	bone	15	171	tulaŋ	t u l a ŋ
279	Merina (Malagasy)	bone	15	171	taolana	t a o l a n a
280	Thao	bone	15	173	puqu	p u q u
281	Palauan	bone	15	177	cʰiuis	cʰ i u i s
282	Tunjung	bone	15	180	lah	l a h
283	Bare'e	bone	15	173	wuku	w u k u
284	Iban	bone	15	171	tulaŋ	t u l a ŋ
285	Berawan (Long Terawan)	bone	15	171	tulaŋ	t u l a ŋ
286	Moken	bone	15	171	kəlaːn	k ə l aː n
287	Hanunoo	bone	15	175	butʔul	b u t ʔ u l
288	Wuna	bone	15	173	buku	b u k u
289	Tetum	bone	15	178	ruʔin	r u ʔ i n
290	Mailu	bone	15	176	kisa	k i s a
291	Tsou	bone	15	179	cʉ́ehʉ	c ʉ́ e h ʉ
292	Nias	bone	15	171	tõla	t õ l a
293	Central Amis	bone	15	174	ukak	u k a k
294	Central Amis	bone	15	174	okak	o k a k
295	Central Amis	bone	15	174	ukak	u k a k
296	Banoni	bone	15	172	sipana	s i p a n a
297	Singhi	bone	15	171	turaŋ	t u r a ŋ
298	Banggi	bone	15	171	tulagn	t u l a g n
# 
299	Maloh	intestines	16	185	parut	p a r u t
300	Merina (Malagasy)	intestines	16	186	tsinaj	t s i n a j
301	Thao	intestines	16	189	rumrum	r u m r u m
302	Palauan	intestines	16	187	delacʰ	d e l a cʰ
303	Tunjung	intestines	16	191	usiʔ#ŋaiʔ	u s i ʔ # ŋ a i ʔ
304	Bare'e	intestines	16	182	wajaː#ntaʔi	w a j aː # n t a ʔ i
305	Iban	intestines	16	185	perut	p e r u t
306	Berawan (Long Terawan)	intestines	16	183	tənaiʔ	t ə n a i ʔ
307	Hanunoo	intestines	16	184	bitukaʔ	b i t u k a ʔ
308	Hanunoo	intestines	16	193	punaʔ	p u n a ʔ
309	Wuna	intestines	16	192	ihi#no#tagʰi	i h i # n o # t a gʰ i
310	Tetum	intestines	16	188	te#oan	t e # o a n
311	Mailu	intestines	16	186	sinae	s i n a e
312	Tsou	intestines	16	190	soeu	s o e u
313	Nias	intestines	16	184	betuʔa	b e t u ʔ a
314	Nias	intestines	16	194	riʔi	r i ʔ i
315	Central Amis	intestines	16	183	tinaiq	t i n a i q
316	Central Amis	intestines	16	183	tinaiʕ	t i n a i ʕ
317	Banoni	intestines	16	181	kore	k o r e
# 
318	Maloh	liver	17	195	até	a t é
319	Merina (Malagasy)	liver	17	195	atj	a t j
320	Thao	liver	17	198	rishi	r i s h i
321	Palauan	liver	17	197	cʰad	cʰ a d
322	Tunjung	liver	17	200	limpa	l i m p a
323	Bare'e	liver	17	195	ate	a t e
324	Iban	liver	17	195	atau	a t a u
325	Berawan (Long Terawan)	liver	17	195	ataj	a t a j
326	Moken	liver	17	195	kataj	k a t a j
327	Hanunoo	liver	17	195	ataj	a t a j
328	Wuna	liver	17	195	gʰete	gʰ e t e
329	Tetum	liver	17	195	aten	a t e n
330	Mailu	liver	17	196	arame	a r a m e
331	Tsou	liver	17	199	hʔonu	h ʔ o n u
332	Nias	liver	17	195	ate	a t e
333	Central Amis	liver	17	195	ataj	a t a j
334	Central Amis	liver	17	195	ʕataj	ʕ a t a j
335	Banoni	liver	17	195	date	d a t e
336	Singhi	liver	17	195	atin	a t i n
337	Banggi	liver	17	195	ati	a t i
# 
338	Maloh	breast	18	202	susu	s u s u
339	Merina (Malagasy)	breast	18	206	nono	n o n o
340	Thao	breast	18	203	tutu	t u t u
341	Palauan	breast	18	203	tut	t u t
342	Tunjung	breast	18	202	tosoq	t o s o q
343	Bare'e	breast	18	202	susu	s u s u
344	Iban	breast	18	202	tusu	t u s u
345	Berawan (Long Terawan)	breast	18	203	iteʔ	i t e ʔ
346	Moken	breast	18	203	dadaʔ	d a d a ʔ
347	Hanunoo	breast	18	202	susu	s u s u
348	Wuna	breast	18	203	titi	t i t i
349	Tetum	breast	18	202	susun	s u s u n
350	Mailu	breast	18	205	hama	h a m a
351	Tsou	breast	18	206	nunʔu	n u n ʔ u
352	Nias	breast	18	207	fosu	f o s u
353	Nias	breast	18	202	susu	s u s u
354	Central Amis	breast	18	204	faluhaŋ	f a l u h a ŋ
355	Central Amis	breast	18	204	falohaŋ	f a l o h a ŋ
356	Central Amis	breast	18	202	cucu	c u c u
357	Chamorro	breast	18	202	susu	s u s u
358	Banoni	breast	18	201	su	s u
359	Banggi	breast	18	203	dudu	d u d u
# 
360	Maloh	shoulder	19	215	babaŋ	b a b a ŋ
361	Merina (Malagasy)	shoulder	19	216	soroka	s o r o k a
362	Thao	shoulder	19	219	qalhafa	q a l h a f a
363	Palauan	shoulder	19	218	oŋeluŋel	o ŋ e l u ŋ e l
364	Tunjung	shoulder	19	221	bahuq	b a h u q
365	Bare'e	shoulder	19	208	awaː	a w aː
366	Iban	shoulder	19	213	bau	b a u
367	Berawan (Long Terawan)	shoulder	19	210	bikih	b i k i h
368	Hanunoo	shoulder	19	212	labaj	l a b a j
369	Wuna	shoulder	19	214	gʰofea	gʰ o f e a
370	Tetum	shoulder	19	213	baːs	b aː s
371	Mailu	shoulder	19	214	gabi	g a b i
372	Tsou	shoulder	19	220	eiʔsi	e i ʔ s i
373	Nias	shoulder	19	217	alisi	a l i s i
374	Central Amis	shoulder	19	211	afala	a f a l a
375	Central Amis	shoulder	19	211	ʔafala	ʔ a f a l a
376	Chamorro	shoulder	19	210	apaga	a p a g a
377	Banoni	shoulder	19	209	dzaneko	d z a n e k o
378	Singhi	shoulder	19	215	papi	p a p i
379	Banggi	shoulder	19	208	owu	o w u
# 
380	Maloh	to know, be knowledgeable	20	229	tamu	t a m u
381	Merina (Malagasy)	to know, be knowledgeable	20	230	mahalala	m a h a l a l a
382	Thao	to know, be knowledgeable	20	226	mafazaq	m a f a z a q
383	Palauan	to know, be knowledgeable	20	232	meducʰ	m e d u cʰ
384	Tunjung	to know, be knowledgeable	20	227	togaʔ	t o g a ʔ
385	Bare'e	to know, be knowledgeable	20	224	inca	i n c a
386	Iban	to know, be knowledgeable	20	227	tauʔ	t a u ʔ
387	Iban	to know, be knowledgeable	20	229	temu	t e m u
388	Berawan (Long Terawan)	to know, be knowledgeable	20	225	ninʲon	n i nʲ o n
389	Moken	to know, be knowledgeable	20	225	nʲədan	nʲ ə d a n
390	Hanunoo	to know, be knowledgeable	20	227	taʔu	t a ʔ u
391	Wuna	to know, be knowledgeable	20	222	pandehao	p a n d e h a o
392	Tetum	to know, be knowledgeable	20	234	hatana	h a t a n a
393	Mailu	to know, be knowledgeable	20	228	ribariba	r i b a r i b a
394	Mailu	to know, be knowledgeable	20	237	vegarai	v e g a r a i
395	Tsou	to know, be knowledgeable	20	235	bocʰio	b o cʰ i o
396	Nias	to know, be knowledgeable	20	231	ila	i l a
397	Central Amis	to know, be knowledgeable	20	226	mafanaq	m a f a n a q
398	Central Amis	to know, be knowledgeable	20	226	mafanaʔ	m a f a n a ʔ
399	Banoni	to know, be knowledgeable	20	223	kuki	k u k i
400	Banoni	to know, be knowledgeable	20	236	vonogu	v o n o g u
401	Singhi	to know, be knowledgeable	20	233	puan	p u a n
402	Banggi	to know, be knowledgeable	20	222	fandi	f a n d i
# 
403	Merina (Malagasy)	to think	21	240	mihévitra	m i h é v i t r a
404	Thao	to think	21	248	maŋqtu	m a ŋ q t u
405	Palauan	to think	21	242	omdasu	o m d a s u
406	Bare'e	to think	21	239	monawa	m o n a w a
407	Iban	to think	21	243	rundiŋ	r u n d i ŋ
408	Moken	to think	21	245	məkʰit	m ə kʰ i t
409	Hanunoo	to think	21	242	umisip	u m i s i p
410	Hanunoo	to think	21	248	magduman	m a g d u m a n
411	Tetum	to think	21	244	hanoʔin	h a n o ʔ i n
412	Mailu	to think	21	244	sunaːvini	s u n aː v i n i
413	Tsou	to think	21	249	maʔmi	m a ʔ m i
414	Nias	to think	21	246	wai	w a i
415	Central Amis	to think	21	240	miharateŋ	m i h a r a t e ŋ
416	Central Amis	to think	21	240	miharateŋ	m i h a r a t e ŋ
417	Chamorro	to think	21	241	hasːo	h a sː o
418	Banoni	to think	21	238	varekana	v a r e k a n a
419	Singhi	to think	21	247	saka#ŋasuŋ	s a k a # ŋ a s u ŋ
# 
420	Maloh	to fear	22	257	takut	t a k u t
421	Merina (Malagasy)	to fear	22	259	tahotra	t a h o t r a
422	Thao	to fear	22	262	shuŋkash	s h u ŋ k a s h
423	Palauan	to fear	22	257	dakt	d a k t
424	Tunjung	to fear	22	264	bihin	b i h i n
425	Bare'e	to fear	22	252	maeka	m a e k a
426	Iban	to fear	22	257	takut	t a k u t
427	Berawan (Long Terawan)	to fear	22	253	bikaʔ	b i k a ʔ
428	Moken	to fear	22	260	gajaːŋ	g a j aː ŋ
429	Moken	to fear	22	257	lakoːt	l a k oː t
430	Hanunoo	to fear	22	256	dalaʔ	d a l a ʔ
431	Wuna	to fear	22	265	notehi	n o t e h i
432	Tetum	to fear	22	261	hatauk	h a t a u k
433	Mailu	to fear	22	258	taguru	t a g u r u
434	Tsou	to fear	22	263	skoeu	s k o e u
435	Nias	to fear	22	259	taʔu	t a ʔ u
436	Central Amis	to fear	22	254	matalaw	m a t a l a w
437	Chamorro	to fear	22	255	kinibatde	k i n i b a t d e
438	Banoni	to fear	22	251	vere	v e r e
439	Singhi	to fear	22	258	toru	t o r u
440	Banggi	to fear	22	250	molok	m o l o k
# 
441	Maloh	blood	23	271	daraʔ	d a r a ʔ
442	Merina (Malagasy)	blood	23	273	ra	r a
443	Thao	blood	23	276	talhum	t a l h u m
444	Palauan	blood	23	266	rasecʰ	r a s e cʰ
445	Tunjung	blood	23	266	rahaʔ	r a h a ʔ
446	Bare'e	blood	23	268	daː	d aː
447	Iban	blood	23	271	darah	d a r a h
448	Berawan (Long Terawan)	blood	23	269	səma	s ə m a
449	Moken	blood	23	274	dalaːk	d a l aː k
450	Hanunoo	blood	23	271	duguʔ	d u g u ʔ
451	Wuna	blood	23	273	rea	r e a
452	Tetum	blood	23	273	raːn	r aː n
453	Mailu	blood	23	272	lala	l a l a
454	Tsou	blood	23	277	hmueu	h m u e u
455	Nias	blood	23	268	do	d o
456	Central Amis	blood	23	270	remes	r e m e s
457	Banoni	blood	23	267	ŋatsi	ŋ a t s i
458	Singhi	blood	23	275	doja	d o j a
459	Banggi	blood	23	266	raːh	r aː h
# 
460	Maloh	head	24	278	ulu	u l u
461	Merina (Malagasy)	head	24	280	loha	l o h a
462	Thao	head	24	285	punuq	p u n u q
463	Palauan	head	24	284	klidm	k l i d m
464	Tunjung	head	24	287	kuhuŋ	k u h u ŋ
465	Bare'e	head	24	280	woʔo	w o ʔ o
466	Berawan (Long Terawan)	head	24	278	uloh	u l o h
467	Hanunoo	head	24	278	ulu	u l u
468	Wuna	head	24	288	fotu	f o t u
469	Tetum	head	24	278	ulun	u l u n
470	Mailu	head	24	282	uru	u r u
471	Mailu	head	24	282	moru	m o r u
472	Tsou	head	24	286	fŋuu	f ŋ u u
473	Nias	head	24	283	hõgõ	h õ g õ
474	Central Amis	head	24	281	taŋar	t a ŋ a r
475	Central Amis	head	24	289	fuŋoh	f u ŋ o h
476	Chamorro	head	24	278	ulu	u l u
477	Banoni	head	24	279	tope	t o p e
478	Singhi	head	24	285	bak	b a k
479	Banggi	head	24	278	ulu	u l u
# 
480	Maloh	neck	25	297	kaloŋ	k a l o ŋ
481	Merina (Malagasy)	neck	25	296	vozona	v o z o n a
482	Thao	neck	25	301	buqtur	b u q t u r
483	Palauan	neck	25	299	cʰikl	cʰ i k l
484	Tunjung	neck	25	294	lohoŋ	l o h o ŋ
485	Bare'e	neck	25	292	taŋgude	t a ŋ g u d e
486	Iban	neck	25	295	rekoŋ	r e k o ŋ
487	Berawan (Long Terawan)	neck	25	293	bitoʔ	b i t o ʔ
488	Moken	neck	25	290	tukʰoː	t u kʰ oː
489	Moken	neck	25	297	buloːŋ	b u l oː ŋ
490	Hanunoo	neck	25	294	liʔug	l i ʔ u g
491	Wuna	neck	25	298	wugʰu	w u gʰ u
492	Tetum	neck	25	291	kakorok	k a k o r o k
493	Mailu	neck	25	296	kusani	k u s a n i
494	Tsou	neck	25	296	sʉ́nʉ	s ʉ́ n ʉ
495	Nias	neck	25	298	bagi	b a g i
496	Central Amis	neck	25	294	liqer	l i q e r
497	Central Amis	neck	25	294	liʕer	l i ʕ e r
498	Banoni	neck	25	291	kokoromo	k o k o r o m o
499	Singhi	neck	25	300	tuŋoe	t u ŋ o e
500	Banggi	neck	25	290	tigoru	t i g o r u
# 
501	Maloh	hair	26	302	buk	b u k
502	Merina (Malagasy)	hair	26	309	volo	v o l o
503	Thao	hair	26	306	fukish	f u k i s h
504	Palauan	hair	26	310	cʰui	cʰ u i
