# IEL
ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID
68	Danish	ashes	4	ˈasg̥ʰə	asg̥ʰə	a s g̥ʰ ə	34
69	Dutch_List	ashes	4	ɑs	ɑs	ɑ s	34
70	English	ashes	4	æʃɪz	æʃɪz	æ ʃ ɪ z	34
71	French	ashes	4	sɑ̃dʀ	sɑ̃dʀ	s ɑ̃ d ʀ	32
72	German	ashes	4	'aʃə	aʃə	a ʃ ə	34
73	Greek_Mod	ashes	4	ˈstaxti	staxti	s t a x t i	35
74	Italian	ashes	4	'tʃenere	ʧenere	ʧ e n e r e	36
75	Marathi	ashes	4	ɾakʰ	ɾakʰ	ɾ a kʰ	37
76	Polish	ashes	4	ˈpɔpʲuw	pɔpʲuw	p ɔ pʲ u w	33
77	Portuguese_ST	ashes	4	ˈsĩzɐʃ	sĩzɐʃ	s ĩ z ɐ ʃ	36
78	Russian	ashes	4	zo'la	zola	z o l a	39
79	Spanish	ashes	4	θe'niθas	θeniθas	θ e n i θ a s	36
80	Swedish	ashes	4	stɔft	stɔft	s t ɔ f t	40
81	Bihari	ashes	4	chaur	cʰaur	cʰ au r	30
82	Oriya	ashes	4	bhɔsmoɔ	bʱɔsmoɔ	bʱ ɔ s m oɔ	38
83	Oriya	ashes	4	pãũsɔ	paːũsɔ	p aːũ s ɔ	38
84	Urdu	ashes	4	ɾɑkʰ	ɾɑkʰ	ɾ ɑ kʰ	37
85	Swedish	ashes	4	'aska	aska	a s k a	34
86	Marathi	ashes	4	'bʱəsmə	bʱəsmə	bʱ ə s m ə	38
# 
87	Catalan	at	5	a	a	a	43
88	Czech	at	5	ʊ	ʊ	ʊ	44
89	Danish	at	5	veð	veð	v e ð	45
90	Dutch_List	at	5	tə	tə	t ə	46
91	English	at	5	æt	æt	æ t	45
92	French	at	5	a	a	a	43
93	German	at	5	an	an	a n	47
94	Greek_Mod	at	5	se̞	se̞	s e̞	48
95	Italian	at	5	a, ad	a	a	43
96	Marathi	at	5	t, tʰe	t	t	46
97	Polish	at	5	v	v	v	49
98	Portuguese_ST	at	5	ɐ̃j	ɐ̃j	ɐ̃ j	50
99	Russian	at	5	v	v	v	49
100	Spanish	at	5	a	a	a	43
101	Swedish	at	5	viːd	viːd	v iː d	45
102	Breton_ST	at	5	e, ẽn	e	e	42
103	Oriya	at	5	ṭhare	ʈʰare	ʈʰ a r e	46
104	Oriya	at	5	re	re	r e	54
105	Urdu	at	5	pəɾ, pɛ	pəɾ	p ə ɾ	51
106	Czech	at	5	pr̝̊ɪ	pr̝ɪ	p r̝ ɪ	51
107	Russian	at	5	u	u	u	44
108	Catalan	at	5	pər	pər	p ə r	51
109	Portuguese_ST	at	5	a	a	a	43
110	Swedish	at	5	po:	poː	p oː	55
111	Marathi	at	5	'wadzta	wadzta	w a d z t a	53
112	Armenian_Mod	at	5	um	um	u m	41
113	Armenian_Mod	at	5	in	in	i n	52
# 
114	Breton_ST	back	6	kɛjn	kɛjn	k ɛ j n	58
115	Catalan	back	6	əs'paʎʎə	əspaʎʎə	ə s p a ʎː ə	59
116	Danish	back	6	b̥ɛj	b̥ɛj	b̥ ɛ j	61
117	Dutch_List	back	6	rʏχ	rʏχ	r ʏ χ	62
118	English	back	6	bæk	bæk	b æ k	61
119	French	back	6	do	do	d o	63
120	German	back	6	'rijkn̩	rijkn̩	r i j k n̩	64
121	Greek_Mod	back	6	ˈplati	plati	p l a t i	57
122	Italian	back	6	'dɔsso	dɔsso	d ɔ sː o	63
123	Marathi	back	6	patʰ	patʰ	p a tʰ	57
124	Polish	back	6	'plɛʦɨ	plɛʦɨ	p l ɛ ʦ ɨ	65
125	Russian	back	6	spi'na	spina	s p i n a	67
126	Spanish	back	6	es'palda	espalda	e s p a l d a	59
127	Swedish	back	6	rʏg	rʏg	r ʏ g	62
128	Bihari	back	6	piʈa	piʈa	p i ʈ a	57
129	Bihari	back	6	ɖar	ɖar	ɖ a r	63
130	Oriya	back	6	piṭhi	piʈʰi	p i ʈʰ i	57
131	Urdu	back	6	kəməɾ	kəməɾ	k ə m ə ɾ	68
132	Catalan	back	6	əs'kɛnə	əskɛnə	ə s k ɛ n ə	64
133	Portuguese_ST	back	6	ˈkɔʃtɐʃ	kɔʃtɐʃ	k ɔ ʃ t ɐ ʃ	66
134	Armenian_Mod	back	6	meʧʰkʰ	meʧʰkʰ	m e ʧʰ kʰ	56
135	Czech	back	6	zaːda	zaːda	z aː d a	60
# 
136	Breton_ST	bad	7	fal	fal	f a l	71
137	Catalan	bad	7	mal	mal	m a l	72
138	Danish	bad	7	ɔn	ɔn	ɔ n	74
139	Dutch_List	bad	7	slɛχt	slɛχt	s l ɛ χ t	75
140	English	bad	7	bæd	bæd	b æ d	69
141	French	bad	7	mɔvɛ	mɔvɛ	m ɔ v ɛ	72
142	German	bad	7	ʃlɛçt	ʃlɛçt	ʃ l ɛ ç t	75
143	Greek_Mod	bad	7	kaˈko̞s	kako̞s	k a k o̞ s	76
144	Italian	bad	7	kat'tivo	kattivo	k a tː i v o	77
145	Marathi	bad	7	wa͜i:ʈ	wa͜iːʈ	w a͜iː ʈ	78
146	Polish	bad	7	zwɨ	zwɨ	z w ɨ	73
147	Portuguese_ST	bad	7	maw	maw	m a w	72
148	Russian	bad	7	plo'xoj	ploxoj	p l o x o j	79
149	Spanish	bad	7	'malo	malo	m a l o	72
150	Swedish	bad	7	ˈdoː.lɪ(ɡ)	doː.lɪɡ	d oː l ɪ ɡ	80
151	Armenian_Mod	bad	7	vɑt	vɑt	v ɑ t	69
152	Bihari	bad	7	khərap	kʰərap	kʰ ə r a p	70
153	Oriya	bad	7	khɔrap(ɔ)	kʰɔrapɔ	kʰ ɔ r a p ɔ	70
154	Urdu	bad	7	bʊɾɑ	bʊɾɑ	b ʊ ɾ ɑ	81
155	Swedish	bad	7	und	und	u n d	82
156	Swedish	bad	7	'ʉ:səl	ʉːsəl	ʉː s ə l	83
157	Urdu	bad	7	χəɾɑb	χəɾɑb	χ ə ɾ ɑ b	70
158	Czech	bad	7	zliː	zliː	z l iː	73
# 
159	Czech	bark	8	kuːra	kuːra	k uː r a	88
160	Catalan	bark	8	əs'kɔrsə	əskɔrsə	ə s k ɔ r s ə	87
161	Breton_ST	bark	8	rysk	rysk	r y s k	86
162	Danish	bark	8	b̥ɑːg̥ʰ	b̥ɑːg̥ʰ	b̥ ɑː g̥ʰ	89
163	Dutch_List	bark	8	sχɔrs	sχɔrs	s χ ɔ r s	87
164	English	bark	8	bɑ:k	bɑːk	b ɑː k	89
165	French	bark	8	ekɔʀs	ekɔʀs	e k ɔ ʀ s	87
166	German	bark	8	'rɪndə	rɪndə	r ɪ n d ə	90
167	Greek_Mod	bark	8	ðe̞ˈ(n)dro̞fluˌða	ðe̞ndro̞fluða	ð e̞ n d r o̞ f l u ð a	91
168	Italian	bark	8	'skɔrdza	skɔrdza	s k ɔ r d z a	87
169	Marathi	bark	8	sal	sal	s a l	92
170	Polish	bark	8	ˈkɔra	kɔra	k ɔ r a	88
171	Russian	bark	8	ko'ra	kora	k o r a	88
172	Spanish	bark	8	koɾ'teθa	koɾteθa	k o ɾ t e θ a	87
173	Swedish	bark	8	bark	bark	b a r k	89
174	Bihari	bark	8	chal	cʰal	cʰ a l	85
175	Oriya	bark	8	čheli	čheli	č h e l i	85
176	Oriya	bark	8	bɔkɔḷɔ	bɔkɔɭɔ	b ɔ k ɔ ɭ ɔ	94
177	Urdu	bark	8	ʧɑl	ʧɑl	ʧ ɑ l	85
178	German	bark	8	'bɔrkə	bɔrkə	b ɔ r k ə	89
179	Italian	bark	8	kor'tettʃa	kortetʧa	k o r t e t ʧ a	87
180	Armenian_Mod	bark	8	kɛˈʁɛv	kɛʁɛv	k ɛ ʁ ɛ v	84
181	Portuguese_ST	bark	8	ˈkaʃkɐ	kaʃkɐ	k a ʃ k ɐ	93
# 
182	German	because	9	va‿il	vail	v ai l	98
183	Breton_ST	because	9	pɛ'gwi:r	pɛgwiːr	p ɛ g w iː r	96
184	Marathi	because	9	'kaɾəɳ	kaɾəɳ	k a ɾ ə ɳ	100
185	Swedish	because	9	e'me:dan	emeːdan	e m eː d a n	102
186	Armenian_Mod	because	9	voɾovhɛˈtɛv	voɾovhɛtɛv	v o ɾ o v h ɛ t ɛ v	95
187	English	because	9	bɪkɒz	bɪkɒz	b ɪ k ɒ z	97
188	Oriya	because	9	karɔṇɔ	karɔɳɔ	k a r ɔ ɳ ɔ	100
189	Oriya	because	9	hetu	hetu	h e t u	104
190	Oriya	because	9	jogu	jogu	j o g u	97
191	Oriya	because	9	boli	boli	b o l i	105
192	Urdu	because	9	kjũ ke	kjuː#ke	k j uː # k e	103
193	Polish	because	9	bɔ	bɔ	b ɔ	101
194	Greek_Mod	because	9	ˌðiˈo̞ti	ðio̞ti	ð io̞ t i	99
# 
195	Czech	belly	10	br̝ɪxo	br̝ɪxo	b r̝ ɪ x o	109
196	English	belly	10	bɛlɪ	bɛlɪ	b ɛ l ɪ	111
197	Breton_ST	belly	10	ko:f	koːf	k oː f	107
198	Catalan	belly	10	'bentrə	bentrə	b e n t r ə	108
199	Danish	belly	10	b̥u	b̥u	b̥ u	110
200	Dutch_List	belly	10	bœyk	bœyk	b œy k	110
201	French	belly	10	vɑ̃tʀ	vɑ̃tʀ	v ɑ̃ t ʀ	108
202	German	belly	10	ba‿ux	baux	b au x	110
203	Greek_Mod	belly	10	ciˈʎa	ciʎa	c i ʎ a	111
204	Italian	belly	10	'vɛntre	vɛntre	v ɛ n t r e	108
205	Marathi	belly	10	poʈ	poʈ	p o ʈ	106
206	Polish	belly	10	bʒux	bʒux	b ʒ u x	112
207	Portuguese_ST	belly	10	ˈvẽtɾɨ	vẽtɾɨ	v ẽ t ɾ ɨ	108
208	Russian	belly	10	zi'vot	zivot	z i v o t	113
209	Swedish	belly	10	bʉ:k	bʉːk	b ʉː k	110
210	Bihari	belly	10	peʈ	peʈ	p e ʈ	106
211	Oriya	belly	10	peṭɔ	peʈɔ	p e ʈ ɔ	106
212	Urdu	belly	10	peʈ	peʈ	p e ʈ	106
213	Spanish	belly	10	ba'riɣa	bariɣa	b a r i ɣ a	109
214	Portuguese_ST	belly	10	bɐˈʁiɣɐ	bɐʁiɣɐ	b ɐ ʁ i ɣ ɐ	109
215	Catalan	belly	10	'panʃə, 'pantʃa	panʃə	p a n ʃ ə	114
# 
216	Armenian_Mod	big	11	mɛʦ	mɛʦ	m ɛ ʦ	115
217	Czech	big	11	vɛlkiː	vɛlkiː	v ɛ l k iː	119
218	Breton_ST	big	11	bʁaz	bʁaz	b ʁ a z	117
219	Catalan	big	11	gran	gran	g r a n	118
220	Danish	big	11	ˈsd̥ʰoɐ̯	sd̥ʰoɐ̯	s d̥ʰ oɐ̯	120
221	Dutch_List	big	11	ɣrot	ɣrot	ɣ r o t	121
222	English	big	11	bɪg	bɪg	b ɪ g	122
223	French	big	11	gʀɑ̃	gʀɑ̃	g ʀ ɑ̃	118
224	German	big	11	gro:s	groːs	g r oː s	121
225	Greek_Mod	big	11	me̞ˈɣalo̞s	me̞ɣalo̞s	m e̞ ɣ a l o̞ s	123
226	Italian	big	11	'grande	grande	g r a n d e	118
227	Marathi	big	11	'moʈʰə	moʈʰə	m o ʈʰ ə	115
228	Polish	big	11	ˈvʲɛlkʲi	vʲɛlkʲi	vʲ ɛ l kʲ i	119
229	Portuguese_ST	big	11	ˈɡɾɐ̃ðɨ	ɡɾɐ̃ðɨ	ɡ ɾ ɐ̃ ð ɨ	118
230	Russian	big	11	bolʲ'ʃoj	bolʲʃoj	b o lʲ ʃ o j	124
231	Spanish	big	11	'ɡɾande	ɡɾande	ɡ ɾ a n d e	118
232	Swedish	big	11	gru:v	gruːv	g r uː v	121
233	Bihari	big	11	nəmhər	nəmhər	n ə m h ə r	116
234	Oriya	big	11	bɔṛɔ	bɔɽɔ	b ɔ ɽ ɔ	117
235	Urdu	big	11	bəɽɛ	bəɽɛ	b ə ɽ ɛ	117
236	Russian	big	11	ve'likij	velikij	v e l i k i j	119
237	Breton_ST	big	11	møʁ	møʁ	m ø ʁ	115
238	Catalan	big	11	ʎaɾk	ʎaɾk	ʎ a ɾ k	125
# 
239	Armenian_Mod	bird	12	tʰərˈʧʰun	tʰərʧʰun	tʰ ə r ʧʰ u n	126
240	Czech	bird	12	ptaːk	ptaːk	p t aː k	130
241	Breton_ST	bird	12	'ẽwn	ẽwn	ẽ w n	128
242	Catalan	bird	12	u'seʎ	useʎ	u s e ʎ	129
243	Danish	bird	12	ful	ful	f u l	131
244	Dutch_List	bird	12	'voɣəl	voɣəl	v o ɣ ə l	131
245	English	bird	12	bɜ:d	bɜːd	b ɜː d	132
246	French	bird	12	wazo	wazo	w a z o	133
247	German	bird	12	'fo:gl̩	foːgl̩	f oː g l̩	131
248	Greek_Mod	bird	12	pu'li	puli	p u l i	131
249	Italian	bird	12	ut'tʃɛllo	utʧɛllo	u t ʧ ɛ lː o	129
250	Marathi	bird	12	pək'ʂi	pəkʂi	p ə k ʂ i	134
251	Polish	bird	12	ptak	ptak	p t a k	130
252	Portuguese_ST	bird	12	ˈavɨ	avɨ	a v ɨ	135
253	Russian	bird	12	'ptitsa	ptitsa	p t i t s a	130
254	Swedish	bird	12	'fo:gəl	foːgəl	f oː g ə l	131
255	Bihari	bird	12	cirəi	cirəi	c i r əi	127
256	Oriya	bird	12	pɔkhi	pɔkʰi	p ɔ kʰ i	134
257	Urdu	bird	12	pɾɪnd̪əh	pɾɪnd̪əh	p ɾ ɪ n d̪ ə h	137
258	Catalan	bird	12	mu'ʃo	muʃo	m u ʃ o	133
259	Breton_ST	bird	12	'la:bus	laːbus	l aː b u s	138
260	Spanish	bird	12	'paxaɾo	paxaɾo	p a x a ɾ o	136
261	Portuguese_ST	bird	12	ˈpasɐɾu	pasɐɾu	p a s ɐ ɾ u	136
# 
262	Armenian_Mod	bite	13	kəˈʦɛl	kəʦɛl	k ə ʦ ɛ l	139
263	Czech	bite	13	koʊ̯sat	koʊ̯sat	k oʊ̯ s a t	139
264	Breton_ST	bite	13	'krɛ:gĩn	krɛːgĩn	k r ɛː g ĩ n	141
265	Catalan	bite	13	musəˈɣa	musəɣa	m u s ə ɣ a	142
266	Danish	bite	13	ˈb̥iːðə	b̥iːðə	b̥ iː ð ə	143
267	Dutch_List	bite	13	'bɛitə(n)	bɛitən	b ɛi t ə n	143
268	English	bite	13	baɪt	baɪt	b aɪ t	143
269	French	bite	13	mɔʀdʀ	mɔʀdʀ	m ɔ ʀ d ʀ	142
270	German	bite	13	'ba‿isn̩	baisn̩	b ai s n̩	143
271	Greek_Mod	bite	13	ðaˈ(ŋ)ɡo̞no̞	ðaŋɡo̞no̞	ð a ŋ ɡ o̞ n o̞	144
272	Italian	bite	13	'mɔrdere	mɔrdere	m ɔ r d e r e	142
273	Polish	bite	13	ɡrɨɕʨ	ɡrɨɕʨ	ɡ r ɨ ɕ ʨ	139
274	Portuguese_ST	bite	13	muɾˈdeɾ	muɾdeɾ	m u ɾ d e ɾ	142
275	Russian	bite	13	'kusatʲ	kusatʲ	k u s a tʲ	139
276	Spanish	bite	13	moɾ'ðeɾ	moɾðeɾ	m o ɾ ð e ɾ	142
277	Swedish	bite	13	'bi:ta	biːta	b iː t a	143
278	Bihari	bite	13	kaʈəb	kaʈəb	k a ʈ ə b	140
279	Oriya	bite	13	kamuṛ-	kamuɽ	k a m u ɽ	146
280	Urdu	bite	13	kɑʈnə	kɑʈnə	k ɑ ʈ n ə	140
281	Catalan	bite	13	pi'ka	pika	p i k a	147
282	Breton_ST	bite	13	'dãntã	dãntã	d ã n t ã	144
283	Marathi	bite	13	'tsawa	tsawa	t s a w a	145
# 
284	Armenian_Mod	black	14	sɛv	sɛv	s ɛ v	148
285	Czech	black	14	tʃɛrniː	ʧɛrniː	ʧ ɛ r n iː	152
286	Breton_ST	black	14	dyː	dyː	d yː	150
287	Catalan	black	14	ˈnɛɣɾə, ˈneɣɾe	nɛɣɾə	n ɛ ɣ ɾ ə	151
288	Danish	black	14	sɒ:d̥ʰ	sɒːd̥ʰ	s ɒː d̥ʰ	153
289	Dutch_List	black	14	zwɑrt	zwɑrt	z w ɑ r t	153
290	English	black	14	blæk	blæk	b l æ k	154
291	French	black	14	nwaʀ	nwaʀ	n w a ʀ	151
292	German	black	14	ʃwart͜s	ʃwart͜s	ʃ w a r t͜s	153
293	Greek_Mod	black	14	ˈmavro̞s	mavro̞s	m a v r o̞ s	155
294	Italian	black	14	'nero	nero	n e r o	151
295	Marathi	black	14	'kaɭa	kaɭa	k a ɭ a	149
296	Polish	black	14	ˈʧarnɨ	ʧarnɨ	ʧ a r n ɨ	152
297	Portuguese_ST	black	14	'neɡɾu	neɡɾu	n e ɡ ɾ u	151
298	Russian	black	14	'tʃernɨj	ʧernɨj	ʧ e r n ɨ j	152
299	Spanish	black	14	'neɣɾo	neɣɾo	n e ɣ ɾ o	151
300	Swedish	black	14	svart, svaʈ	svart	s v a r t	153
301	Bihari	black	14	kari	kari	k a r i	149
302	Oriya	black	14	kɔḷa	kɔɭa	k ɔ ɭ a	149
303	Urdu	black	14	kɑlə	kɑlə	k ɑ l ə	149
304	Portuguese_ST	black	14	ˈpɾetu	pɾetu	p ɾ e t u	156
# 
305	Armenian_Mod	blood	15	ɑˈɾɪ̯un	ɑɾɪ̯un	ɑ ɾ ɪ̯u n	157
306	Czech	blood	15	krɛf	krɛf	k r ɛ f	160
307	German	blood	15	blu:t	bluːt	b l uː t	161
308	Breton_ST	blood	15	gwa:t	gwaːt	g w aː t	159
309	Catalan	blood	15	saŋ	saŋ	s a ŋ	162
310	Danish	blood	15	b̥loð	b̥loð	b̥ l o ð	161
311	Dutch_List	blood	15	blut	blut	b l u t	161
312	English	blood	15	blʌd	blʌd	b l ʌ d	161
313	French	blood	15	sɑ̃	sɑ̃	s ɑ̃	162
314	Greek_Mod	blood	15	ˈe̞ma	e̞ma	e̞ m a	163
315	Italian	blood	15	'sangwe	sangwe	s a n g w e	162
316	Marathi	blood	15	'ɾəktə	ɾəktə	ɾ ə k t ə	164
317	Polish	blood	15	krɛf	krɛf	k r ɛ f	160
318	Portuguese_ST	blood	15	ˈsɐ̃ɣɨ	sɐ̃ɣɨ	s ɐ̃ ɣ ɨ	162
319	Russian	blood	15	krovʲ	krovʲ	k r o vʲ	160
320	Spanish	blood	15	'saŋɡɾe	saŋɡɾe	s a ŋ ɡ ɾ e	162
321	Swedish	blood	15	blu:d	bluːd	b l uː d	161
322	Bihari	blood	15	sonit	sonit	s o n i t	158
323	Oriya	blood	15	rɔktɔ	rɔktɔ	r ɔ k t ɔ	165
324	Urdu	blood	15	χun	χun	χ u n	166
# 
325	Armenian_Mod	blow	16	pʰəˈʧʰɛl	pʰəʧʰɛl	pʰ ə ʧʰ ɛ l	167
326	Czech	blow	16	foʊ̯kat	foʊ̯kat	f oʊ̯ k a t	171
327	German	blow	16	've:ən	veːən	v eːə n	173
328	Greek_Mod	blow	16	fiˈso̞	fiso̞	f i s o̞	169
329	Italian	blow	16	sof'fjare	soffjare	s o fː j a r e	174
330	Portuguese_ST	blow	16	suˈpɾaɾ	supɾaɾ	s u p ɾ a ɾ	174
331	Russian	blow	16	dutʲ	dutʲ	d u tʲ	176
332	Spanish	blow	16	so'plaɾ	soplaɾ	s o p l a ɾ	174
333	Swedish	blow	16	'blo:sa	bloːsa	b l oː s a	172
334	Catalan	blow	16	bu'fa	bufa	b u f a	170
335	Breton_ST	blow	16	'xwe:zã	xweːzã	x w eː z ã	169
336	Danish	blow	16	ˈb̥lεːsə	b̥lɛːsə	b̥ l ɛː s ə	172
337	Dutch_List	blow	16	'wayə(n)	wayən	w ayə n	173
338	English	blow	16	bləʊ	bləʊ	b l əʊ	172
339	French	blow	16	sufle	sufle	s u f l e	174
340	Bihari	blow	16	phukəb	pʰukəb	pʰ u k ə b	168
341	Bihari	blow	16	surkəb	surkəb	s u r k ə b	177
342	Bihari	blow	16	hawa bəhəb	hawa#bəhəb	h a w a # b ə h ə b	178
343	Oriya	blow	16	bohiba	bohiba	b o h i b a	170
344	Urdu	blow	16	pʰũknə	pʰuːknə	pʰ uː k n ə	168
345	Dutch_List	blow	16	'blazə(n)	blazən	b l a z ə n	172
346	Polish	blow	16	ˈdmuxaʨ	dmuxaʨ	d m u x a ʨ	175
347	Marathi	blow	16	uɖ'ɳe	uɖɳe	u ɖ ɳ e	168
# 
348	Czech	bone	17	kost	kost	k o s t	183
349	Armenian_Mod	bone	17	vosˈkoɾ	voskoɾ	v o s k o ɾ	179
350	Breton_ST	bone	17	ˈaskɔrn	askɔrn	a s k ɔ r n	181
351	Catalan	bone	17	ɔs	ɔs	ɔ s	182
352	Danish	bone	17	b̥en	b̥en	b̥ e n	184
353	Dutch_List	bone	17	ben, bɔt	ben	b e n	184
354	English	bone	17	bəʊn	bəʊn	b əʊ n	184
355	French	bone	17	ɔs	ɔs	ɔ s	182
356	German	bone	17	'knɔxn̩	knɔxn̩	k n ɔ x n̩	185
357	Greek_Mod	bone	17	ˈko̞kaˌlo̞	ko̞kalo̞	k o̞ k a l o̞	186
358	Italian	bone	17	'ɔsso	ɔsso	ɔ sː o	182
359	Marathi	bone	17	haɖ	haɖ	h a ɖ	180
360	Polish	bone	17	kɔɕʨ	kɔɕʨ	k ɔ ɕ ʨ	183
361	Portuguese_ST	bone	17	ˈosu	osu	o s u	182
362	Russian	bone	17	kostʲ	kostʲ	k o s tʲ	183
363	Spanish	bone	17	'weso	weso	w e s o	182
364	Swedish	bone	17	beːn	beːn	b eː n	184
365	Bihari	bone	17	həɖɖi	həɖɖi	h ə ɖː i	180
366	Oriya	bone	17	haḍɔ	haɖɔ	h a ɖ ɔ	180
367	Urdu	bone	17	həɖːi	həɖːi	h ə ɖː i	180
368	Dutch_List	bone	17	ɣrat	ɣrat	ɣ r a t	187
# 
369	Bihari	breast	18	cuci	cuci	c u c i	189
370	Oriya	breast	18	dud	dud	d u d	193
371	Urdu	breast	18	pɪstɑn, sinə	pɪstɑn	p ɪ s t ɑ n	196
372	Italian	breast	18	'poppa	poppa	p o pː a	192
373	Italian	breast	18	mam'mɛlla	mammɛlla	m a mː ɛ lː a	197
374	French	breast	18	sɛ̃	sɛ̃	s ɛ̃	190
375	Polish	breast	18	pʲɛrɕ	pʲɛrɕ	pʲ ɛ r ɕ	194
376	Russian	breast	18	'grudʲ	grudʲ	g r u dʲ	188
377	Greek_Mod	breast	18	ˈstiθo̞s	stiθo̞s	s t i θ o̞ s	191
378	French	breast	18	mamɛl	mamɛl	m a m ɛ l	197
379	French	breast	18	tetɔ̃	tetɔ̃	t e t ɔ̃	198
380	Italian	breast	18	'tetta	tetta	t e tː a	198
381	Armenian_Mod	breast	18	kuɾʦkʰ	kuɾʦkʰ	k u ɾ ʦ kʰ	188
382	Spanish	breast	18	'peʧo	peʧo	p e ʧ o	195
# 
383	Armenian_Mod	breathe	19	ʃənˈʧʰɛl	ʃənʧʰɛl	ʃ ə n ʧʰ ɛ l	199
384	Czech	breathe	19	diːxat	diːxat	d iː x a t	203
